sample,station,tx_total_pkts,tx_total_bytes,tx_ucast_pkts,tx_ucast_bytes,tx_mcast_bcast_pkts,tx_mcast_bcast_bytes,tx_failures,rx_data_pkts,rx_data_bytes,rx_ucast_pkts,rx_ucast_bytes,rx_mcast_bcast_pkts,rx_mcast_bcast_bytes,rx_decrypt_succeeds,tx_data_pkts_retried,tx_total_pkts_sent,tx_pkts_retries,tx_pkts_retry_exhausted,rx_total_pkts_retried,rate_last_tx_pkt_min,rate_last_tx_pkt_max,per_antenna_rssi_last_rx_data_frame_1,per_antenna_rssi_last_rx_data_frame_2,per_antenna_rssi_last_rx_data_frame_3,per_antenna_rssi_last_rx_data_frame_4,per_antenna_avg_rssi_rx_data_frames_1,per_antenna_avg_rssi_rx_data_frames_2,per_antenna_avg_rssi_rx_data_frames_3,per_antenna_avg_rssi_rx_data_frames_4,per_antenna_noise_floor_1,per_antenna_noise_floor_2,per_antenna_noise_floor_3,per_antenna_noise_floor_4,sinr_per_antenna_1,sinr_per_antenna_2,sinr_per_antenna_3,sinr_per_antenna_4,attack
1,62:47:05:9D:EB:15,3874788,532923108,21035,46912844,3853753,486010264,1,16812,5925187,16723,5911729,89,13458,7924,0,21122,440,1,178,229410.0,130000.0,-46.0,-57.0,-40.0,-45.0,-44.0,-54.0,-43.0,-49.0,-90.0,-93.0,-90.0,-93.0,44.0,36.0,50.0,48.0,1
2,92:69:1D:31:68:E9,3857995,489729654,4242,3719390,3853753,486010264,1,5911,1246987,5723,1204139,188,42848,2359,13,4530,105,1,66,216660.0,130000.0,-52.0,-49.0,-45.0,-46.0,-52.0,-49.0,-44.0,-47.0,-90.0,-93.0,-90.0,-93.0,38.0,44.0,45.0,47.0,1
3,CC:2F:71:3F:1F:24,5240550,2089998950,1386797,1603988686,3853753,486010264,2222,1168459,1342289082,1167544,1342178074,915,111008,1130728,15,1384934,130373,2219,880,144444.0,43333.0,-75.0,-68.0,-70.0,-72.0,-75.0,-68.0,-70.0,-72.0,-90.0,-93.0,-90.0,-93.0,15.0,25.0,20.0,21.0,1
4,CC:2F:71:3E:C5:1F,3854815,486140109,1062,129845,3853753,486010264,3,4627,385929,3856,294421,771,91508,1125,16,1524,32,3,55,144444.0,39000.0,-74.0,-72.0,-68.0,-60.0,-72.0,-72.0,-68.0,-59.0,-90.0,-93.0,-90.0,-93.0,16.0,21.0,22.0,33.0,1
5,BA:8C:B9:54:50:24,3858741,492210598,4988,6200334,3853753,486010264,7,10197,1782258,10175,1778763,22,3495,2364,18,5536,44,7,79,229410.0,130000.0,-40.0,-36.0,-46.0,-52.0,-42.0,-35.0,-44.0,-48.0,-90.0,-93.0,-90.0,-93.0,50.0,57.0,44.0,41.0,1
6,62:47:05:9D:EB:15,3874794,532923714,21035,46912844,3853759,486010870,1,16812,5925187,16723,5911729,89,13458,7924,0,21122,440,1,178,229410.0,130000.0,-46.0,-57.0,-40.0,-45.0,-44.0,-54.0,-43.0,-49.0,-90.0,-93.0,-90.0,-93.0,44.0,36.0,50.0,48.0,1
7,92:69:1D:31:68:E9,3858001,489730260,4242,3719390,3853759,486010870,1,5911,1246987,5723,1204139,188,42848,2359,13,4530,105,1,66,216660.0,130000.0,-52.0,-49.0,-45.0,-46.0,-52.0,-49.0,-44.0,-47.0,-90.0,-93.0,-90.0,-93.0,38.0,44.0,45.0,47.0,1
8,CC:2F:71:3F:1F:24,5240603,2090017202,1386844,1604006332,3853759,486010870,2222,1168484,1342293552,1167569,1342182544,915,111008,1130752,15,1384981,130386,2219,880,144444.0,43333.0,-75.0,-68.0,-70.0,-73.0,-75.0,-68.0,-69.0,-72.0,-90.0,-93.0,-90.0,-93.0,15.0,25.0,20.0,20.0,1
9,CC:2F:71:3E:C5:1F,3854821,486140715,1062,129845,3853759,486010870,3,4627,385929,3856,294421,771,91508,1125,16,1524,32,3,55,144444.0,39000.0,-74.0,-72.0,-68.0,-60.0,-72.0,-72.0,-68.0,-59.0,-90.0,-93.0,-90.0,-93.0,16.0,21.0,22.0,33.0,1
10,BA:8C:B9:54:50:24,3858747,492211204,4988,6200334,3853759,486010870,7,10197,1782258,10175,1778763,22,3495,2364,18,5536,44,7,79,229410.0,130000.0,-40.0,-36.0,-46.0,-52.0,-42.0,-35.0,-44.0,-48.0,-90.0,-93.0,-90.0,-93.0,50.0,57.0,44.0,41.0,1
