sample,station,tx_total_pkts,tx_total_bytes,tx_ucast_pkts,tx_ucast_bytes,tx_mcast_bcast_pkts,tx_mcast_bcast_bytes,tx_failures,rx_data_pkts,rx_data_bytes,rx_ucast_pkts,rx_ucast_bytes,rx_mcast_bcast_pkts,rx_mcast_bcast_bytes,rx_decrypt_succeeds,tx_data_pkts_retried,tx_total_pkts_sent,tx_pkts_retries,tx_pkts_retry_exhausted,rx_total_pkts_retried,rate_last_tx_pkt_min,rate_last_tx_pkt_max,per_antenna_rssi_last_rx_data_frame_1,per_antenna_rssi_last_rx_data_frame_2,per_antenna_rssi_last_rx_data_frame_3,per_antenna_rssi_last_rx_data_frame_4,per_antenna_avg_rssi_rx_data_frames_1,per_antenna_avg_rssi_rx_data_frames_2,per_antenna_avg_rssi_rx_data_frames_3,per_antenna_avg_rssi_rx_data_frames_4,per_antenna_noise_floor_1,per_antenna_noise_floor_2,per_antenna_noise_floor_3,per_antenna_noise_floor_4,sinr_per_antenna_1,sinr_per_antenna_2,sinr_per_antenna_3,sinr_per_antenna_4,attack
1,F8:59:71:5A:E0:3D,3204588,1918500385,1099081,1651110777,2105507,267389608,1,630850,795603471,630447,795551960,403,51511,626398,4,1099110,57596,1,379,115556.0,28889.0,-66.0,-69.0,-61.0,-67.0,-65.0,-69.0,-61.0,-67.0,-83.0,-88.0,-81.0,-86.0,17.0,19.0,20.0,19.0,1
2,CC:2F:71:3F:1F:24,3643021,2276943977,1537508,2009553763,2105513,267390214,484,1280802,1641218216,1280386,1641167932,416,50284,1268102,164,1537097,54524,484,989,13000.0,1000.0,-68.0,-64.0,-66.0,-70.0,-68.0,-63.0,-66.0,-69.0,-83.0,-87.0,-80.0,-85.0,15.0,23.0,14.0,15.0,1
3,CC:2F:71:3E:C5:1F,5503121,4435895358,3397603,4168504514,2105518,267390844,502,92350,7928428,77868,6211912,14482,1716516,21313,205,3404925,869124,502,2900,130000.0,1000.0,-65.0,-70.0,-65.0,-61.0,-69.0,-72.0,-68.0,-61.0,-83.0,-87.0,-80.0,-85.0,18.0,17.0,15.0,24.0,1
4,F8:59:71:5A:E0:3D,3205247,1919398346,1099700,1652004636,2105547,267393710,1,631299,796138816,630895,796087187,404,51629,626771,4,1099723,58509,1,383,104000.0,1000.0,-66.0,-71.0,-63.0,-68.0,-66.0,-70.0,-62.0,-68.0,-83.0,-87.0,-80.0,-85.0,17.0,16.0,17.0,17.0,1
5,CC:2F:71:3F:1F:24,3644140,2278452790,1538582,2011058082,2105558,267394708,484,1282287,1643390617,1281871,1643340333,416,50284,1269571,248,1538174,54665,484,993,5500.0,1000.0,-69.0,-64.0,-66.0,-70.0,-68.0,-63.0,-66.0,-69.0,-83.0,-87.0,-80.0,-85.0,14.0,23.0,14.0,15.0,1
6,CC:2F:71:3E:C5:1F,5503179,4435901091,3397604,4168504574,2105575,267396517,502,92354,7928756,77871,6212122,14483,1716634,21314,205,3404926,869125,502,2900,130000.0,1000.0,-67.0,-72.0,-66.0,-61.0,-66.0,-69.0,-64.0,-60.0,-82.0,-87.0,-80.0,-85.0,15.0,15.0,14.0,24.0,1
7,F8:59:71:5A:E0:3D,3208032,1923338588,1102336,1655921458,2105696,267417130,1,633304,798287224,632899,798235477,405,51747,628531,5,1102365,61232,1,410,57778.0,13000.0,-66.0,-71.0,-62.0,-69.0,-65.0,-69.0,-62.0,-68.0,-82.0,-86.0,-79.0,-84.0,16.0,15.0,17.0,15.0,1
8,CC:2F:71:3F:1F:24,3647271,2282887119,1541572,2015469809,2105699,267417310,484,1283707,1645487558,1283287,1645436826,420,50732,1270903,400,1541168,55034,484,1000,5500.0,1000.0,-69.0,-63.0,-65.0,-67.0,-68.0,-63.0,-65.0,-67.0,-82.0,-86.0,-79.0,-84.0,13.0,23.0,14.0,17.0,1
9,CC:2F:71:3E:C5:1F,5503314,4435922930,3397605,4168504690,2105709,267418240,502,92359,7929154,77875,6212402,14484,1716752,21315,205,3404928,869125,502,2900,130000.0,1000.0,-67.0,-70.0,-64.0,-61.0,-67.0,-69.0,-64.0,-60.0,-82.0,-86.0,-79.0,-84.0,15.0,16.0,15.0,23.0,1
10,F8:59:71:5A:E0:3D,3209533,1925479279,1103753,1658053563,2105780,267425716,1,634669,799954646,634264,799902899,405,51747,629768,5,1103782,62536,1,417,65000.0,1000.0,-66.0,-69.0,-61.0,-68.0,-66.0,-70.0,-61.0,-68.0,-82.0,-86.0,-79.0,-84.0,16.0,17.0,18.0,16.0,1
11,CC:2F:71:3F:1F:24,3650355,2287259855,1544545,2019831271,2105810,267428584,484,1285169,1647655905,1284748,1647605055,421,50850,1272244,601,1544138,55347,484,1002,5500.0,1000.0,-69.0,-62.0,-66.0,-67.0,-68.0,-61.0,-65.0,-66.0,-82.0,-86.0,-79.0,-84.0,13.0,24.0,13.0,17.0,1
12,CC:2F:71:3E:C5:1F,5503425,4435934258,3397606,4168504806,2105819,267429452,502,92361,7929294,77877,6212542,14484,1716752,21315,205,3404929,869125,502,2900,130000.0,1000.0,-68.0,-72.0,-65.0,-61.0,-68.0,-69.0,-65.0,-60.0,-82.0,-86.0,-79.0,-84.0,14.0,14.0,14.0,23.0,1
13,F8:59:71:5A:E0:3D,3211282,1928050266,1105443,1660618741,2105839,267431525,1,635728,801326443,635322,801274578,406,51865,630712,5,1105475,64255,1,419,72222.0,21667.0,-66.0,-70.0,-63.0,-68.0,-66.0,-70.0,-62.0,-68.0,-82.0,-86.0,-79.0,-84.0,16.0,16.0,16.0,16.0,1
14,CC:2F:71:3F:1F:24,3652122,2289700068,1546248,2022265131,2105874,267434937,484,1286773,1650004449,1286352,1649953599,421,50850,1273797,723,1545846,55579,484,1003,5500.0,1000.0,-69.0,-63.0,-67.0,-69.0,-68.0,-63.0,-66.0,-67.0,-82.0,-86.0,-79.0,-84.0,13.0,23.0,12.0,15.0,1
