sample,station,tx_total_pkts,tx_total_bytes,tx_ucast_pkts,tx_ucast_bytes,tx_mcast_bcast_pkts,tx_mcast_bcast_bytes,tx_failures,rx_data_pkts,rx_data_bytes,rx_ucast_pkts,rx_ucast_bytes,rx_mcast_bcast_pkts,rx_mcast_bcast_bytes,rx_decrypt_succeeds,tx_data_pkts_retried,tx_total_pkts_sent,tx_pkts_retries,tx_pkts_retry_exhausted,rx_total_pkts_retried,rate_last_tx_pkt_min,rate_last_tx_pkt_max,per_antenna_rssi_last_rx_data_frame_1,per_antenna_rssi_last_rx_data_frame_2,per_antenna_rssi_last_rx_data_frame_3,per_antenna_rssi_last_rx_data_frame_4,per_antenna_avg_rssi_rx_data_frames_1,per_antenna_avg_rssi_rx_data_frames_2,per_antenna_avg_rssi_rx_data_frames_3,per_antenna_avg_rssi_rx_data_frames_4,per_antenna_noise_floor_1,per_antenna_noise_floor_2,per_antenna_noise_floor_3,per_antenna_noise_floor_4,sinr_per_antenna_1,sinr_per_antenna_2,sinr_per_antenna_3,sinr_per_antenna_4,attack
1,F8:59:71:5A:E0:3D,2151965,276129447,2436,3428265,2149529,272701182,0,1532,1726311,1494,1719254,38,7057,1512,2,2447,599,0,4,144444.0,43333.0,-69.0,-73.0,-65.0,-69.0,-68.0,-73.0,-65.0,-69.0,-90.0,-92.0,-90.0,-93.0,21.0,19.0,25.0,24.0,1
2,CC:2F:71:3E:C5:1F,2149570,272706210,41,5028,2149529,272701182,0,181,15460,155,12280,26,3180,45,1,68,2,0,7,130000.0,39000.0,-71.0,-69.0,-68.0,-60.0,-71.0,-69.0,-67.0,-60.0,-90.0,-92.0,-90.0,-93.0,19.0,23.0,22.0,33.0,1
3,CC:2F:71:3F:1F:24,2209029,352516503,59500,79815321,2149529,272701182,3,34219,35184582,34172,35178490,47,6092,33186,138,59521,14752,3,42,144444.0,43333.0,-71.0,-64.0,-75.0,-71.0,-72.0,-65.0,-76.0,-72.0,-90.0,-92.0,-90.0,-93.0,19.0,28.0,15.0,22.0,1
4,F8:59:71:5A:E0:3D,2152038,276233446,2503,3531500,2149535,272701946,0,1588,1811161,1550,1804104,38,7057,1568,2,2514,600,0,4,144444.0,43333.0,-66.0,-71.0,-63.0,-69.0,-68.0,-72.0,-65.0,-69.0,-90.0,-92.0,-90.0,-93.0,24.0,21.0,27.0,24.0,1
5,CC:2F:71:3E:C5:1F,2149576,272706974,41,5028,2149535,272701946,0,181,15460,155,12280,26,3180,45,1,68,2,0,7,130000.0,39000.0,-71.0,-69.0,-68.0,-60.0,-71.0,-69.0,-67.0,-60.0,-90.0,-92.0,-90.0,-93.0,19.0,23.0,22.0,33.0,1
6,CC:2F:71:3F:1F:24,2209638,353340407,60102,80638393,2149536,272702014,3,34429,35416251,34382,35410159,47,6092,33396,138,60123,15046,3,43,144444.0,43333.0,-68.0,-64.0,-69.0,-71.0,-67.0,-63.0,-68.0,-70.0,-90.0,-92.0,-90.0,-93.0,22.0,28.0,21.0,22.0,1
7,F8:59:71:5A:E0:3D,2152109,276336482,2569,3634064,2149540,272702418,0,1666,1931519,1628,1924462,38,7057,1646,2,2580,607,0,5,144444.0,43333.0,-65.0,-71.0,-65.0,-69.0,-65.0,-71.0,-64.0,-68.0,-89.0,-92.0,-89.0,-93.0,24.0,21.0,24.0,24.0,1
8,CC:2F:71:3E:C5:1F,2149583,272707656,41,5028,2149542,272702628,0,181,15460,155,12280,26,3180,45,1,68,2,0,7,130000.0,39000.0,-71.0,-69.0,-68.0,-60.0,-71.0,-69.0,-67.0,-60.0,-89.0,-92.0,-89.0,-93.0,18.0,23.0,21.0,33.0,1
9,CC:2F:71:3F:1F:24,2209810,353550770,60268,80848142,2149542,272702628,3,34580,35614754,34533,35608662,47,6092,33547,138,60289,15072,3,43,130000.0,43333.0,-67.0,-63.0,-68.0,-69.0,-66.0,-63.0,-68.0,-69.0,-89.0,-92.0,-89.0,-93.0,22.0,29.0,21.0,24.0,1
10,F8:59:71:5A:E0:3D,2152177,276437762,2634,3735074,2149543,272702688,0,1732,2030401,1692,2023022,40,7379,1712,2,2645,610,0,5,144444.0,43333.0,-67.0,-73.0,-64.0,-68.0,-66.0,-71.0,-63.0,-68.0,-89.0,-92.0,-89.0,-93.0,22.0,19.0,25.0,25.0,1
11,CC:2F:71:3E:C5:1F,2149586,272707918,41,5028,2149545,272702890,0,181,15460,155,12280,26,3180,45,1,68,2,0,7,130000.0,39000.0,-71.0,-69.0,-68.0,-60.0,-71.0,-69.0,-67.0,-60.0,-89.0,-92.0,-89.0,-93.0,18.0,23.0,21.0,33.0,1
12,CC:2F:71:3F:1F:24,2209975,353763300,60430,81060410,2149545,272702890,3,34728,35818126,34681,35812034,47,6092,33695,138,60451,15133,3,43,130000.0,39000.0,-66.0,-63.0,-67.0,-69.0,-66.0,-63.0,-68.0,-69.0,-89.0,-92.0,-89.0,-93.0,23.0,29.0,22.0,24.0,1
13,F8:59:71:5A:E0:3D,2152255,276537771,2704,3834275,2149551,272703496,0,1800,2130044,1760,2122665,40,7379,1780,2,2715,618,0,5,144444.0,43333.0,-65.0,-72.0,-65.0,-68.0,-65.0,-71.0,-64.0,-68.0,-89.0,-92.0,-89.0,-93.0,24.0,20.0,24.0,25.0,1
14,CC:2F:71:3E:C5:1F,2149592,272708524,41,5028,2149551,272703496,0,181,15460,155,12280,26,3180,45,1,68,2,0,7,130000.0,39000.0,-71.0,-69.0,-68.0,-60.0,-71.0,-69.0,-67.0,-60.0,-89.0,-92.0,-89.0,-93.0,18.0,23.0,21.0,33.0,1
15,CC:2F:71:3F:1F:24,2210139,353969942,60588,81266446,2149551,272703496,3,34871,36015210,34824,36009118,47,6092,33838,138,60609,15167,3,43,130000.0,43333.0,-66.0,-63.0,-68.0,-70.0,-66.0,-63.0,-68.0,-70.0,-89.0,-92.0,-89.0,-93.0,23.0,29.0,21.0,23.0,1
16,F8:59:71:5A:E0:3D,2152532,276965212,2980,4261654,2149552,272703558,0,1888,2231860,1847,2224363,41,7497,1868,2,2991,646,0,5,144444.0,43333.0,-67.0,-72.0,-63.0,-69.0,-65.0,-71.0,-63.0,-68.0,-88.0,-91.0,-88.0,-92.0,21.0,19.0,25.0,23.0,1
17,CC:2F:71:3E:C5:1F,2149593,272708586,41,5028,2149552,272703558,0,181,15460,155,12280,26,3180,45,1,68,2,0,7,130000.0,39000.0,-71.0,-69.0,-68.0,-60.0,-71.0,-69.0,-67.0,-60.0,-88.0,-91.0,-88.0,-92.0,17.0,22.0,20.0,32.0,1
18,CC:2F:71:3F:1F:24,2210302,354176657,60750,81473099,2149552,272703558,3,35015,36211123,34968,36205031,47,6092,33982,138,60769,15223,3,43,130000.0,43333.0,-68.0,-64.0,-69.0,-71.0,-66.0,-63.0,-68.0,-70.0,-88.0,-91.0,-88.0,-92.0,20.0,27.0,19.0,21.0,1
19,F8:59:71:5A:E0:3D,2152601,277062226,3042,4358002,2149559,272704224,0,1951,2328880,1910,2321383,41,7497,1931,2,3053,658,0,5,144444.0,43333.0,-65.0,-71.0,-64.0,-68.0,-66.0,-71.0,-63.0,-68.0,-88.0,-91.0,-88.0,-92.0,23.0,20.0,24.0,24.0,1
20,CC:2F:71:3E:C5:1F,2149602,272709454,41,5028,2149561,272704426,0,181,15460,155,12280,26,3180,45,1,68,2,0,7,130000.0,39000.0,-71.0,-69.0,-68.0,-60.0,-71.0,-69.0,-67.0,-60.0,-88.0,-91.0,-88.0,-92.0,17.0,22.0,20.0,32.0,1
21,CC:2F:71:3F:1F:24,2210469,354383281,60908,81678855,2149561,272704426,3,35160,36411301,35113,36405209,47,6092,34126,138,60929,15254,3,43,130000.0,43333.0,-66.0,-63.0,-67.0,-69.0,-66.0,-63.0,-68.0,-69.0,-88.0,-91.0,-88.0,-92.0,22.0,28.0,21.0,23.0,1
22,F8:59:71:5A:E0:3D,2152700,277204909,3138,4500421,2149562,272704488,0,2023,2433482,1982,2425985,41,7497,2003,2,3149,675,0,5,144444.0,43333.0,-67.0,-71.0,-63.0,-69.0,-66.0,-71.0,-64.0,-68.0,-88.0,-91.0,-88.0,-92.0,21.0,20.0,25.0,23.0,1
23,CC:2F:71:3E:C5:1F,2149603,272709516,41,5028,2149562,272704488,0,181,15460,155,12280,26,3180,45,1,68,2,0,7,130000.0,39000.0,-71.0,-69.0,-68.0,-60.0,-71.0,-69.0,-67.0,-60.0,-88.0,-91.0,-88.0,-92.0,17.0,22.0,20.0,32.0,1
24,CC:2F:71:3F:1F:24,2210628,354588875,61066,81884387,2149562,272704488,3,35305,36610043,35257,36603833,48,6210,34271,138,61087,15367,3,43,117000.0,39000.0,-66.0,-63.0,-68.0,-70.0,-66.0,-63.0,-68.0,-70.0,-88.0,-91.0,-88.0,-92.0,22.0,28.0,20.0,22.0,1
25,F8:59:71:5A:E0:3D,2152869,277458038,3301,4752944,2149568,272705094,0,2100,2536868,2059,2529371,41,7497,2080,2,3312,677,0,5,144444.0,43333.0,-67.0,-74.0,-65.0,-69.0,-67.0,-73.0,-64.0,-69.0,-87.0,-90.0,-87.0,-91.0,20.0,16.0,22.0,22.0,1
26,CC:2F:71:3E:C5:1F,2149609,272710122,41,5028,2149568,272705094,0,181,15460,155,12280,26,3180,45,1,68,2,0,7,130000.0,39000.0,-71.0,-69.0,-68.0,-60.0,-71.0,-69.0,-67.0,-60.0,-87.0,-90.0,-87.0,-91.0,16.0,21.0,19.0,31.0,1
27,CC:2F:71:3F:1F:24,2211080,355192375,61512,82487281,2149568,272705094,3,35490,36815137,35442,36808927,48,6210,34456,138,61534,15377,3,43,130000.0,43333.0,-68.0,-64.0,-71.0,-70.0,-68.0,-64.0,-71.0,-70.0,-87.0,-90.0,-87.0,-91.0,19.0,26.0,16.0,21.0,1
28,F8:59:71:5A:E0:3D,2152935,277556202,3364,4850846,2149571,272705356,0,2162,2632348,2121,2624851,41,7497,2142,2,3375,677,0,5,144444.0,43333.0,-68.0,-73.0,-65.0,-69.0,-67.0,-72.0,-65.0,-68.0,-86.0,-90.0,-86.0,-91.0,18.0,17.0,21.0,22.0,1
29,CC:2F:71:3E:C5:1F,2149612,272710384,41,5028,2149571,272705356,0,181,15460,155,12280,26,3180,45,1,68,2,0,7,130000.0,39000.0,-71.0,-69.0,-68.0,-60.0,-71.0,-69.0,-67.0,-60.0,-86.0,-90.0,-86.0,-91.0,15.0,21.0,18.0,31.0,1
30,CC:2F:71:3F:1F:24,2211239,355395441,61667,82690023,2149572,272705418,3,35630,37009025,35582,37002815,48,6210,34596,138,61689,15420,3,43,130000.0,43333.0,-63.0,-64.0,-66.0,-70.0,-68.0,-64.0,-70.0,-70.0,-86.0,-90.0,-86.0,-91.0,23.0,26.0,20.0,21.0,1
31,F8:59:71:5A:E0:3D,2153010,277654261,3434,4948439,2149576,272705822,0,2232,2733125,2191,2725628,41,7497,2212,2,3445,677,0,5,144444.0,43333.0,-67.0,-73.0,-65.0,-69.0,-67.0,-72.0,-64.0,-69.0,-86.0,-90.0,-86.0,-91.0,19.0,17.0,21.0,22.0,1
32,CC:2F:71:3E:C5:1F,2149617,272710850,41,5028,2149576,272705822,0,183,15648,156,12350,27,3298,46,1,68,2,0,7,130000.0,39000.0,-70.0,-70.0,-67.0,-60.0,-70.0,-69.0,-67.0,-60.0,-86.0,-90.0,-86.0,-91.0,16.0,20.0,19.0,31.0,1
33,CC:2F:71:3F:1F:24,2211400,355599013,61822,82892989,2149578,272706024,3,35771,37203029,35723,37196819,48,6210,34737,138,61844,15420,3,43,130000.0,43333.0,-69.0,-64.0,-71.0,-68.0,-69.0,-64.0,-71.0,-68.0,-86.0,-90.0,-86.0,-91.0,17.0,26.0,15.0,23.0,1
