sample,station,tx_total_pkts,tx_total_bytes,tx_ucast_pkts,tx_ucast_bytes,tx_mcast_bcast_pkts,tx_mcast_bcast_bytes,tx_failures,rx_data_pkts,rx_data_bytes,rx_ucast_pkts,rx_ucast_bytes,rx_mcast_bcast_pkts,rx_mcast_bcast_bytes,rx_decrypt_succeeds,tx_data_pkts_retried,tx_total_pkts_sent,tx_pkts_retries,tx_pkts_retry_exhausted,rx_total_pkts_retried,rate_last_tx_pkt_min,rate_last_tx_pkt_max,per_antenna_rssi_last_rx_data_frame_1,per_antenna_rssi_last_rx_data_frame_2,per_antenna_rssi_last_rx_data_frame_3,per_antenna_rssi_last_rx_data_frame_4,per_antenna_avg_rssi_rx_data_frames_1,per_antenna_avg_rssi_rx_data_frames_2,per_antenna_avg_rssi_rx_data_frames_3,per_antenna_avg_rssi_rx_data_frames_4,per_antenna_noise_floor_1,per_antenna_noise_floor_2,per_antenna_noise_floor_3,per_antenna_noise_floor_4,sinr_per_antenna_1,sinr_per_antenna_2,sinr_per_antenna_3,sinr_per_antenna_4,attack
1,F8:59:71:5A:E0:3D,2211371,362424639,58836,89343786,2152535,273080853,337,40181,55636972,40109,55625539,72,11433,39917,33,58832,7636,337,31,144444.0,43333.0,-68.0,-74.0,-66.0,-70.0,-68.0,-74.0,-66.0,-70.0,-90.0,-93.0,-90.0,-93.0,22.0,19.0,24.0,23.0,1
2,CC:2F:71:3E:C5:1F,2152609,273089763,74,8910,2152535,273080853,0,339,28752,287,22418,52,6334,83,1,124,7,0,17,144444.0,39000.0,-69.0,-70.0,-66.0,-60.0,-71.0,-70.0,-66.0,-60.0,-90.0,-93.0,-90.0,-93.0,21.0,23.0,24.0,33.0,1
3,CC:2F:71:3F:1F:24,2325099,500183232,172564,227102379,2152535,273080853,6,122279,145496484,122185,145485134,94,11350,118415,560,172609,30239,6,150,144444.0,43333.0,-79.0,-70.0,-79.0,-76.0,-79.0,-70.0,-79.0,-76.0,-90.0,-93.0,-90.0,-93.0,11.0,23.0,11.0,17.0,1
4,F8:59:71:5A:E0:3D,2211439,362523033,58902,89441978,2152537,273081055,337,40248,55736393,40176,55724960,72,11433,39984,33,58898,7636,337,32,144444.0,43333.0,-69.0,-74.0,-66.0,-70.0,-68.0,-74.0,-66.0,-70.0,-90.0,-93.0,-90.0,-93.0,21.0,19.0,24.0,23.0,1
5,CC:2F:71:3E:C5:1F,2152611,273089965,74,8910,2152537,273081055,0,339,28752,287,22418,52,6334,83,1,124,7,0,17,144444.0,39000.0,-69.0,-70.0,-66.0,-60.0,-71.0,-70.0,-66.0,-60.0,-90.0,-93.0,-90.0,-93.0,21.0,23.0,24.0,33.0,1
6,CC:2F:71:3F:1F:24,2325264,500388593,172727,227307538,2152537,273081055,6,122428,145691908,122334,145680558,94,11350,118564,560,172772,30239,6,150,144444.0,43333.0,-79.0,-70.0,-79.0,-77.0,-79.0,-70.0,-79.0,-76.0,-90.0,-93.0,-90.0,-93.0,11.0,23.0,11.0,16.0,1
7,F8:59:71:5A:E0:3D,2211505,362618291,58963,89536772,2152542,273081519,337,40310,55831873,40238,55820440,72,11433,40046,33,58959,7636,337,32,144444.0,43333.0,-69.0,-74.0,-66.0,-70.0,-68.0,-74.0,-66.0,-70.0,-90.0,-93.0,-90.0,-93.0,21.0,19.0,24.0,23.0,1
8,CC:2F:71:3E:C5:1F,2152616,273090429,74,8910,2152542,273081519,0,339,28752,287,22418,52,6334,83,1,124,7,0,17,144444.0,39000.0,-69.0,-70.0,-66.0,-60.0,-71.0,-70.0,-66.0,-60.0,-90.0,-93.0,-90.0,-93.0,21.0,23.0,24.0,33.0,1
9,CC:2F:71:3F:1F:24,2325427,500592371,172883,227510650,2152544,273081721,6,122569,145885912,122475,145874562,94,11350,118705,560,172928,30239,6,150,144444.0,43333.0,-80.0,-70.0,-79.0,-77.0,-79.0,-70.0,-79.0,-77.0,-90.0,-93.0,-90.0,-93.0,10.0,23.0,11.0,16.0,1
10,F8:59:71:5A:E0:3D,2211571,362715043,59025,89633120,2152546,273081923,337,40372,55927353,40300,55915920,72,11433,40108,33,59021,7636,337,32,144444.0,43333.0,-68.0,-74.0,-66.0,-70.0,-68.0,-74.0,-66.0,-70.0,-90.0,-93.0,-90.0,-93.0,22.0,19.0,24.0,23.0,1
