sample,station,tx_total_pkts,tx_total_bytes,tx_ucast_pkts,tx_ucast_bytes,tx_mcast_bcast_pkts,tx_mcast_bcast_bytes,tx_failures,rx_data_pkts,rx_data_bytes,rx_ucast_pkts,rx_ucast_bytes,rx_mcast_bcast_pkts,rx_mcast_bcast_bytes,rx_decrypt_succeeds,tx_data_pkts_retried,tx_total_pkts_sent,tx_pkts_retries,tx_pkts_retry_exhausted,rx_total_pkts_retried,rate_last_tx_pkt_min,rate_last_tx_pkt_max,per_antenna_rssi_last_rx_data_frame_1,per_antenna_rssi_last_rx_data_frame_2,per_antenna_rssi_last_rx_data_frame_3,per_antenna_rssi_last_rx_data_frame_4,per_antenna_avg_rssi_rx_data_frames_1,per_antenna_avg_rssi_rx_data_frames_2,per_antenna_avg_rssi_rx_data_frames_3,per_antenna_avg_rssi_rx_data_frames_4,per_antenna_noise_floor_1,per_antenna_noise_floor_2,per_antenna_noise_floor_3,per_antenna_noise_floor_4,sinr_per_antenna_1,sinr_per_antenna_2,sinr_per_antenna_3,sinr_per_antenna_4,attack
1,F8:59:71:5A:E0:3D,2153030,393147291,86357,130549343,2066673,262597948,1,20249,10757173,20146,10741344,103,15829,19353,3,86373,13348,1,55,144444.0,43333.0,-68.0,-72.0,-67.0,-71.0,-67.0,-72.0,-67.0,-71.0,-90.0,-91.0,-89.0,-92.0,22.0,19.0,22.0,21.0,0
2,CC:2F:71:3F:1F:24,2145730,355052289,79057,92454341,2066673,262597948,481,72819,69648042,72717,69635734,102,12308,71034,47,78618,14235,481,216,144444.0,43333.0,-72.0,-65.0,-73.0,-75.0,-72.0,-65.0,-73.0,-74.0,-90.0,-91.0,-89.0,-92.0,18.0,26.0,16.0,17.0,0
3,CC:2F:71:3E:C5:1F,5439387,4422565302,3372714,4159967354,2066673,262597948,502,87848,7591078,73663,5909780,14185,1681298,20884,205,3379999,861842,502,2868,115556.0,28889.0,-69.0,-71.0,-66.0,-62.0,-70.0,-72.0,-66.0,-62.0,-90.0,-91.0,-89.0,-92.0,21.0,20.0,23.0,30.0,0
4,F8:59:71:5A:E0:3D,2153095,393243957,86420,130645807,2066675,262598150,1,20311,10852653,20208,10836824,103,15829,19415,3,86436,13348,1,55,144444.0,43333.0,-68.0,-72.0,-67.0,-71.0,-67.0,-72.0,-67.0,-71.0,-90.0,-91.0,-89.0,-92.0,22.0,19.0,22.0,21.0,0
5,CC:2F:71:3F:1F:24,2145889,355255783,79214,92657633,2066675,262598150,481,72960,69842046,72858,69829738,102,12308,71175,47,78775,14237,481,216,144444.0,43333.0,-72.0,-65.0,-73.0,-75.0,-72.0,-65.0,-73.0,-74.0,-90.0,-91.0,-89.0,-92.0,18.0,26.0,16.0,17.0,0
6,CC:2F:71:3E:C5:1F,5439417,4422574650,3372742,4159976500,2066675,262598150,502,87854,7591498,73669,5910200,14185,1681298,20884,205,3380027,861880,502,2868,117000.0,39000.0,-71.0,-73.0,-67.0,-62.0,-71.0,-73.0,-67.0,-63.0,-90.0,-91.0,-89.0,-92.0,19.0,18.0,22.0,30.0,0
7,F8:59:71:5A:E0:3D,2153163,393340911,86482,130742155,2066681,262598756,1,20373,10948133,20270,10932304,103,15829,19477,3,86498,13348,1,55,144444.0,43333.0,-68.0,-72.0,-67.0,-71.0,-67.0,-72.0,-67.0,-71.0,-90.0,-91.0,-89.0,-92.0,22.0,19.0,22.0,21.0,0
8,CC:2F:71:3F:1F:24,2146057,355464453,79376,92865697,2066681,262598756,481,73107,70037393,73005,70025085,102,12308,71322,47,78937,14238,481,216,144444.0,43333.0,-72.0,-65.0,-73.0,-75.0,-71.0,-65.0,-73.0,-74.0,-90.0,-91.0,-89.0,-92.0,18.0,26.0,16.0,17.0,0
9,CC:2F:71:3E:C5:1F,5439423,4422575256,3372742,4159976500,2066681,262598756,502,87854,7591498,73669,5910200,14185,1681298,20884,205,3380027,861880,502,2868,117000.0,39000.0,-71.0,-73.0,-67.0,-62.0,-71.0,-73.0,-67.0,-63.0,-90.0,-91.0,-89.0,-92.0,19.0,18.0,22.0,30.0,0
10,F8:59:71:5A:E0:3D,2153595,393972868,86911,131373850,2066684,262599018,1,20478,11052081,20375,11036252,103,15829,19582,3,86926,13391,1,55,144444.0,43333.0,-68.0,-72.0,-67.0,-71.0,-67.0,-72.0,-67.0,-71.0,-90.0,-91.0,-89.0,-92.0,22.0,19.0,22.0,21.0,0
11,CC:2F:71:3F:1F:24,2146255,355702967,79571,93103949,2066684,262599018,481,73271,70233198,73169,70220890,102,12308,71486,47,79132,14243,481,216,144444.0,43333.0,-72.0,-65.0,-73.0,-75.0,-72.0,-65.0,-73.0,-74.0,-90.0,-91.0,-89.0,-92.0,18.0,26.0,16.0,17.0,0
12,CC:2F:71:3E:C5:1F,5439427,4422575580,3372742,4159976500,2066685,262599080,502,87855,7591616,73669,5910200,14186,1681416,20885,205,3380027,861880,502,2868,117000.0,39000.0,-71.0,-73.0,-67.0,-62.0,-71.0,-73.0,-67.0,-63.0,-90.0,-91.0,-89.0,-92.0,19.0,18.0,22.0,30.0,0
13,F8:59:71:5A:E0:3D,2153756,394200325,87067,131600841,2066689,262599484,1,20565,11158265,20462,11142436,103,15829,19669,3,87083,13391,1,55,144444.0,43333.0,-67.0,-72.0,-66.0,-71.0,-67.0,-72.0,-66.0,-71.0,-90.0,-91.0,-89.0,-92.0,23.0,19.0,23.0,21.0,0
14,CC:2F:71:3F:1F:24,2146416,355908017,79727,93308533,2066689,262599484,481,73414,70430282,73312,70417974,102,12308,71629,47,79288,14247,481,216,144444.0,43333.0,-75.0,-68.0,-76.0,-80.0,-74.0,-68.0,-75.0,-79.0,-90.0,-91.0,-89.0,-92.0,15.0,23.0,13.0,12.0,0
15,CC:2F:71:3E:C5:1F,5439433,4422576186,3372742,4159976500,2066691,262599686,502,87856,7591686,73670,5910270,14186,1681416,20885,205,3380027,861880,502,2868,117000.0,39000.0,-71.0,-73.0,-67.0,-62.0,-71.0,-74.0,-68.0,-63.0,-90.0,-91.0,-89.0,-92.0,19.0,18.0,22.0,30.0,0
16,F8:59:71:5A:E0:3D,2153822,394297077,87129,131697189,2066693,262599888,1,20628,11253861,20525,11238032,103,15829,19732,3,87145,13392,1,55,144444.0,43333.0,-68.0,-72.0,-67.0,-72.0,-68.0,-72.0,-67.0,-71.0,-90.0,-92.0,-89.0,-92.0,22.0,20.0,22.0,20.0,0
17,CC:2F:71:3F:1F:24,2146588,356128894,79893,93528673,2066695,262600221,481,73565,70641124,73463,70628816,102,12308,71779,47,79453,14263,481,216,144444.0,43333.0,-72.0,-65.0,-73.0,-76.0,-71.0,-65.0,-73.0,-76.0,-90.0,-92.0,-89.0,-92.0,18.0,27.0,16.0,16.0,0
18,CC:2F:71:3E:C5:1F,5439437,4422576721,3372742,4159976500,2066695,262600221,502,87856,7591686,73670,5910270,14186,1681416,20885,205,3380027,861880,502,2868,117000.0,39000.0,-71.0,-73.0,-67.0,-62.0,-71.0,-74.0,-68.0,-63.0,-90.0,-92.0,-89.0,-92.0,19.0,19.0,22.0,30.0,0
19,F8:59:71:5A:E0:3D,2153894,394403284,87197,131802861,2066697,262600423,1,20696,11358581,20593,11342752,103,15829,19800,3,87213,13392,1,55,144444.0,43333.0,-68.0,-72.0,-67.0,-71.0,-68.0,-72.0,-67.0,-71.0,-90.0,-92.0,-89.0,-92.0,22.0,20.0,22.0,21.0,0
20,CC:2F:71:3F:1F:24,2146758,356337032,80061,93736609,2066697,262600423,481,73720,70840337,73618,70828029,102,12308,71934,47,79622,14312,481,216,144444.0,43333.0,-72.0,-65.0,-73.0,-75.0,-72.0,-65.0,-73.0,-75.0,-90.0,-92.0,-89.0,-92.0,18.0,27.0,16.0,17.0,0
21,CC:2F:71:3E:C5:1F,5439439,4422576923,3372742,4159976500,2066697,262600423,502,87856,7591686,73670,5910270,14186,1681416,20885,205,3380027,861880,502,2868,117000.0,39000.0,-71.0,-73.0,-67.0,-62.0,-71.0,-74.0,-68.0,-63.0,-90.0,-92.0,-89.0,-92.0,19.0,19.0,22.0,30.0,0
22,F8:59:71:5A:E0:3D,2153962,394498746,87258,131897655,2066704,262601091,1,20758,11452639,20654,11436692,104,15947,19862,3,87274,13393,1,56,144444.0,43333.0,-68.0,-72.0,-67.0,-72.0,-68.0,-72.0,-67.0,-71.0,-90.0,-92.0,-89.0,-92.0,22.0,20.0,22.0,20.0,0
23,CC:2F:71:3F:1F:24,2146919,356539192,80215,93938101,2066704,262601091,481,73858,71031145,73756,71018837,102,12308,72072,47,79776,14320,481,216,144444.0,43333.0,-72.0,-66.0,-73.0,-75.0,-71.0,-65.0,-72.0,-75.0,-90.0,-92.0,-89.0,-92.0,18.0,26.0,16.0,17.0,0
24,CC:2F:71:3E:C5:1F,5439461,4422582791,3372757,4159981700,2066704,262601091,502,87858,7591826,73672,5910410,14186,1681416,20885,205,3380042,861909,502,2868,104000.0,26000.0,-70.0,-73.0,-67.0,-62.0,-70.0,-72.0,-67.0,-62.0,-90.0,-92.0,-89.0,-92.0,20.0,19.0,22.0,30.0,0
25,F8:59:71:5A:E0:3D,2154026,394595296,87320,131994003,2066706,262601293,1,20821,11549659,20717,11533712,104,15947,19925,3,87336,13394,1,56,144444.0,43333.0,-68.0,-72.0,-67.0,-72.0,-68.0,-72.0,-67.0,-72.0,-90.0,-92.0,-89.0,-92.0,22.0,20.0,22.0,20.0,0
