sample,station,tx_total_pkts,tx_total_bytes,tx_ucast_pkts,tx_ucast_bytes,tx_mcast_bcast_pkts,tx_mcast_bcast_bytes,tx_failures,rx_data_pkts,rx_data_bytes,rx_ucast_pkts,rx_ucast_bytes,rx_mcast_bcast_pkts,rx_mcast_bcast_bytes,rx_decrypt_succeeds,tx_data_pkts_retried,tx_total_pkts_sent,tx_pkts_retries,tx_pkts_retry_exhausted,rx_total_pkts_retried,rate_last_tx_pkt_min,rate_last_tx_pkt_max,per_antenna_rssi_last_rx_data_frame_1,per_antenna_rssi_last_rx_data_frame_2,per_antenna_rssi_last_rx_data_frame_3,per_antenna_rssi_last_rx_data_frame_4,per_antenna_avg_rssi_rx_data_frames_1,per_antenna_avg_rssi_rx_data_frames_2,per_antenna_avg_rssi_rx_data_frames_3,per_antenna_avg_rssi_rx_data_frames_4,per_antenna_noise_floor_1,per_antenna_noise_floor_2,per_antenna_noise_floor_3,per_antenna_noise_floor_4,sinr_per_antenna_1,sinr_per_antenna_2,sinr_per_antenna_3,sinr_per_antenna_4,attack
1,BA:8C:B9:54:50:24,3750382,473074957,114,40446,3750268,473034511,0,357,64597,340,61889,17,2708,117,1,136,1,0,0,216660.0,130000.0,-48.0,-35.0,-42.0,-45.0,-42.0,-36.0,-44.0,-49.0,-89.0,-92.0,-89.0,-92.0,41.0,57.0,47.0,47.0,1
2,CC:2F:71:3E:C5:1F,3750352,473046027,84,11516,3750268,473034511,0,356,34241,262,20289,94,13952,120,2,119,5,0,12,130000.0,39000.0,-71.0,-73.0,-67.0,-59.0,-71.0,-72.0,-68.0,-60.0,-89.0,-92.0,-89.0,-92.0,18.0,19.0,22.0,33.0,1
3,CC:2F:71:3F:1F:24,3768882,491442389,18614,18407878,3750268,473034511,8,11616,3899866,11499,3879965,117,19901,10705,7,18639,6151,8,43,104000.0,26000.0,-68.0,-63.0,-66.0,-64.0,-70.0,-67.0,-67.0,-68.0,-89.0,-92.0,-89.0,-92.0,21.0,29.0,23.0,28.0,1
4,92:69:1D:31:68:E9,3762867,488228946,12599,15194435,3750268,473034511,3,18570,3489589,17904,3336547,666,153042,6323,100,13784,243,3,240,216660.0,130000.0,-50.0,-47.0,-43.0,-48.0,-51.0,-48.0,-42.0,-47.0,-89.0,-92.0,-89.0,-92.0,39.0,45.0,46.0,44.0,1
5,BA:8C:B9:54:50:24,3750388,473075563,114,40446,3750274,473035117,0,357,64597,340,61889,17,2708,117,1,136,1,0,0,216660.0,130000.0,-48.0,-35.0,-42.0,-45.0,-42.0,-36.0,-44.0,-49.0,-89.0,-92.0,-89.0,-92.0,41.0,57.0,47.0,47.0,1
6,CC:2F:71:3E:C5:1F,3750358,473046633,84,11516,3750274,473035117,0,356,34241,262,20289,94,13952,120,2,119,5,0,12,130000.0,39000.0,-71.0,-73.0,-67.0,-59.0,-71.0,-72.0,-68.0,-60.0,-89.0,-92.0,-89.0,-92.0,18.0,19.0,22.0,33.0,1
7,CC:2F:71:3F:1F:24,3768929,491457231,18654,18422054,3750275,473035177,8,11638,3903716,11521,3883815,117,19901,10726,7,18679,6151,8,43,117000.0,39000.0,-69.0,-65.0,-66.0,-68.0,-68.0,-65.0,-66.0,-68.0,-89.0,-92.0,-89.0,-92.0,20.0,27.0,23.0,24.0,1
8,92:69:1D:31:68:E9,3762874,488229612,12599,15194435,3750275,473035177,3,18570,3489589,17904,3336547,666,153042,6323,100,13784,243,3,240,216660.0,130000.0,-50.0,-47.0,-43.0,-48.0,-51.0,-48.0,-42.0,-47.0,-89.0,-92.0,-89.0,-92.0,39.0,45.0,46.0,44.0,1
9,BA:8C:B9:54:50:24,3750391,473075825,114,40446,3750277,473035379,0,357,64597,340,61889,17,2708,117,1,136,1,0,0,216660.0,130000.0,-48.0,-35.0,-42.0,-45.0,-42.0,-36.0,-44.0,-49.0,-89.0,-92.0,-89.0,-92.0,41.0,57.0,47.0,47.0,1
10,CC:2F:71:3E:C5:1F,3750361,473046895,84,11516,3750277,473035379,0,356,34241,262,20289,94,13952,120,2,119,5,0,12,130000.0,39000.0,-71.0,-73.0,-67.0,-59.0,-71.0,-72.0,-68.0,-60.0,-89.0,-92.0,-89.0,-92.0,18.0,19.0,22.0,33.0,1
11,CC:2F:71:3F:1F:24,3768969,491471349,18692,18435970,3750277,473035379,8,11660,3907566,11543,3887665,117,19901,10747,7,18717,6152,8,43,130000.0,43333.0,-69.0,-65.0,-66.0,-68.0,-69.0,-65.0,-66.0,-68.0,-89.0,-92.0,-89.0,-92.0,20.0,27.0,23.0,24.0,1
12,92:69:1D:31:68:E9,3762876,488229814,12599,15194435,3750277,473035379,3,18570,3489589,17904,3336547,666,153042,6323,100,13784,243,3,240,216660.0,130000.0,-50.0,-47.0,-43.0,-48.0,-51.0,-48.0,-42.0,-47.0,-89.0,-92.0,-89.0,-92.0,39.0,45.0,46.0,44.0,1
