sample,station,tx_total_pkts,tx_total_bytes,tx_ucast_pkts,tx_ucast_bytes,tx_mcast_bcast_pkts,tx_mcast_bcast_bytes,tx_failures,rx_data_pkts,rx_data_bytes,rx_ucast_pkts,rx_ucast_bytes,rx_mcast_bcast_pkts,rx_mcast_bcast_bytes,rx_decrypt_succeeds,tx_data_pkts_retried,tx_total_pkts_sent,tx_pkts_retries,tx_pkts_retry_exhausted,rx_total_pkts_retried,rate_last_tx_pkt_min,rate_last_tx_pkt_max,per_antenna_rssi_last_rx_data_frame_1,per_antenna_rssi_last_rx_data_frame_2,per_antenna_rssi_last_rx_data_frame_3,per_antenna_rssi_last_rx_data_frame_4,per_antenna_avg_rssi_rx_data_frames_1,per_antenna_avg_rssi_rx_data_frames_2,per_antenna_avg_rssi_rx_data_frames_3,per_antenna_avg_rssi_rx_data_frames_4,per_antenna_noise_floor_1,per_antenna_noise_floor_2,per_antenna_noise_floor_3,per_antenna_noise_floor_4,sinr_per_antenna_1,sinr_per_antenna_2,sinr_per_antenna_3,sinr_per_antenna_4,attack
1,62:47:05:9D:EB:15,3856810,497817924,7029,12301999,3849781,485515925,1,7467,3908256,7417,3900598,50,7658,3572,0,7107,56,1,126,216660.0,130000.0,-43.0,-45.0,-35.0,-47.0,-43.0,-45.0,-36.0,-48.0,-90.0,-93.0,-89.0,-92.0,47.0,48.0,54.0,45.0,1
2,92:69:1D:31:68:E9,3853959,489220854,4178,3704929,3849781,485515925,1,5697,1227401,5519,1186903,178,40498,2316,12,4445,104,1,65,216660.0,130000.0,-51.0,-48.0,-45.0,-47.0,-51.0,-47.0,-43.0,-48.0,-90.0,-93.0,-89.0,-92.0,39.0,45.0,44.0,45.0,1
3,CC:2F:71:3F:1F:24,5140412,1980931410,1290631,1495415485,3849781,485515925,2222,1089085,1253044687,1088218,1252939727,867,104960,1053863,15,1288764,122735,2219,832,144444.0,43333.0,-71.0,-69.0,-67.0,-73.0,-71.0,-69.0,-66.0,-73.0,-90.0,-93.0,-89.0,-92.0,19.0,24.0,22.0,19.0,1
4,CC:2F:71:3E:C5:1F,3850801,485640624,1020,124699,3849781,485515925,3,4458,371605,3718,283755,740,87850,1079,14,1467,30,3,54,130000.0,39000.0,-72.0,-72.0,-70.0,-60.0,-71.0,-71.0,-70.0,-60.0,-90.0,-93.0,-89.0,-92.0,18.0,21.0,19.0,32.0,1
5,BA:8C:B9:54:50:24,3854736,491712601,4955,6196676,3849781,485515925,7,9969,1766580,9947,1763085,22,3495,2361,18,5476,44,7,77,216660.0,130000.0,-40.0,-37.0,-45.0,-52.0,-44.0,-36.0,-44.0,-48.0,-90.0,-93.0,-89.0,-92.0,50.0,56.0,44.0,40.0,1
6,62:47:05:9D:EB:15,3856813,497818186,7029,12301999,3849784,485516187,1,7467,3908256,7417,3900598,50,7658,3572,0,7107,56,1,126,216660.0,130000.0,-43.0,-45.0,-35.0,-47.0,-43.0,-45.0,-36.0,-48.0,-90.0,-93.0,-89.0,-93.0,47.0,48.0,54.0,46.0,1
7,92:69:1D:31:68:E9,3853962,489221116,4178,3704929,3849784,485516187,1,5697,1227401,5519,1186903,178,40498,2316,12,4445,104,1,65,216660.0,130000.0,-51.0,-48.0,-45.0,-47.0,-51.0,-47.0,-43.0,-48.0,-90.0,-93.0,-89.0,-93.0,39.0,45.0,44.0,46.0,1
8,CC:2F:71:3F:1F:24,5140604,1981172834,1290820,1495656647,3849784,485516187,2222,1089256,1253274071,1088389,1253169111,867,104960,1054034,15,1288955,122737,2219,832,144444.0,43333.0,-71.0,-68.0,-67.0,-73.0,-71.0,-68.0,-66.0,-73.0,-90.0,-93.0,-89.0,-93.0,19.0,25.0,22.0,20.0,1
9,CC:2F:71:3E:C5:1F,3850804,485640886,1020,124699,3849784,485516187,3,4458,371605,3718,283755,740,87850,1079,14,1467,30,3,54,130000.0,39000.0,-72.0,-72.0,-70.0,-60.0,-71.0,-71.0,-70.0,-60.0,-90.0,-93.0,-89.0,-93.0,18.0,21.0,19.0,33.0,1
10,BA:8C:B9:54:50:24,3854743,491713267,4955,6196676,3849788,485516591,7,9969,1766580,9947,1763085,22,3495,2361,18,5476,44,7,77,216660.0,130000.0,-40.0,-37.0,-45.0,-52.0,-44.0,-36.0,-44.0,-48.0,-90.0,-93.0,-89.0,-93.0,50.0,56.0,44.0,41.0,1
