sample,station,tx_total_pkts,tx_total_bytes,tx_ucast_pkts,tx_ucast_bytes,tx_mcast_bcast_pkts,tx_mcast_bcast_bytes,tx_failures,rx_data_pkts,rx_data_bytes,rx_ucast_pkts,rx_ucast_bytes,rx_mcast_bcast_pkts,rx_mcast_bcast_bytes,rx_decrypt_succeeds,tx_data_pkts_retried,tx_total_pkts_sent,tx_pkts_retries,tx_pkts_retry_exhausted,rx_total_pkts_retried,rate_last_tx_pkt_min,rate_last_tx_pkt_max,per_antenna_rssi_last_rx_data_frame_1,per_antenna_rssi_last_rx_data_frame_2,per_antenna_rssi_last_rx_data_frame_3,per_antenna_rssi_last_rx_data_frame_4,per_antenna_avg_rssi_rx_data_frames_1,per_antenna_avg_rssi_rx_data_frames_2,per_antenna_avg_rssi_rx_data_frames_3,per_antenna_avg_rssi_rx_data_frames_4,per_antenna_noise_floor_1,per_antenna_noise_floor_2,per_antenna_noise_floor_3,per_antenna_noise_floor_4,sinr_per_antenna_1,sinr_per_antenna_2,sinr_per_antenna_3,sinr_per_antenna_4,attack
1,CC:2F:71:3F:1F:24,3800002,535896585,44527,62212856,3755475,473683729,27,40314,53071306,40301,53069696,13,1610,39484,4,44517,4133,24,89,115556.0,28889.0,-72.0,-67.0,-70.0,-70.0,-72.0,-67.0,-70.0,-70.0,-89.0,-90.0,-87.0,-89.0,17.0,23.0,17.0,19.0,1
2,CC:2F:71:3E:C5:1F,3755492,473685908,17,2179,3755475,473683729,0,57,5353,45,3837,12,1516,19,1,25,2,0,1,130000.0,39000.0,-72.0,-70.0,-66.0,-60.0,-71.0,-70.0,-66.0,-60.0,-89.0,-90.0,-87.0,-89.0,17.0,20.0,21.0,29.0,1
3,BA:8C:B9:54:50:24,3755665,473754343,190,70614,3755475,473683729,0,758,99466,741,96758,17,2708,152,2,251,3,0,4,216660.0,130000.0,-40.0,-37.0,-45.0,-51.0,-42.0,-35.0,-44.0,-47.0,-89.0,-90.0,-87.0,-89.0,49.0,53.0,42.0,38.0,1
4,92:69:1D:31:68:E9,3768140,488891992,12665,15208263,3755475,473683729,3,18866,3514615,18187,3358518,679,156097,6361,104,13887,248,3,246,229410.0,130000.0,-52.0,-47.0,-42.0,-48.0,-52.0,-48.0,-43.0,-47.0,-89.0,-90.0,-87.0,-89.0,37.0,43.0,45.0,41.0,1
5,CC:2F:71:3F:1F:24,3800178,536118957,44699,62434824,3755479,473684133,27,40476,53292352,40463,53290742,13,1610,39639,4,44689,4167,24,89,115556.0,26000.0,-72.0,-67.0,-70.0,-69.0,-72.0,-67.0,-69.0,-69.0,-88.0,-90.0,-87.0,-89.0,16.0,23.0,17.0,20.0,1
6,CC:2F:71:3E:C5:1F,3755496,473686312,17,2179,3755479,473684133,0,57,5353,45,3837,12,1516,19,1,25,2,0,1,130000.0,39000.0,-72.0,-70.0,-66.0,-60.0,-71.0,-70.0,-66.0,-60.0,-88.0,-90.0,-87.0,-89.0,16.0,20.0,21.0,29.0,1
7,BA:8C:B9:54:50:24,3755671,473754949,190,70614,3755481,473684335,0,758,99466,741,96758,17,2708,152,2,251,3,0,4,216660.0,130000.0,-40.0,-37.0,-45.0,-51.0,-42.0,-35.0,-44.0,-47.0,-88.0,-90.0,-87.0,-89.0,48.0,53.0,42.0,38.0,1
8,92:69:1D:31:68:E9,3768146,488892598,12665,15208263,3755481,473684335,3,18866,3514615,18187,3358518,679,156097,6361,104,13887,248,3,246,229410.0,130000.0,-52.0,-47.0,-42.0,-48.0,-52.0,-48.0,-43.0,-47.0,-88.0,-90.0,-87.0,-89.0,36.0,43.0,45.0,41.0,1
9,CC:2F:71:3F:1F:24,3800363,536347964,44880,62663427,3755483,473684537,27,40645,53510375,40632,53508765,13,1610,39805,4,44870,4174,24,89,115556.0,28889.0,-72.0,-67.0,-70.0,-70.0,-72.0,-67.0,-69.0,-69.0,-88.0,-90.0,-87.0,-89.0,16.0,23.0,17.0,19.0,1
10,CC:2F:71:3E:C5:1F,3755500,473686716,17,2179,3755483,473684537,0,57,5353,45,3837,12,1516,19,1,25,2,0,1,130000.0,39000.0,-72.0,-70.0,-66.0,-60.0,-71.0,-70.0,-66.0,-60.0,-88.0,-90.0,-87.0,-89.0,16.0,20.0,21.0,29.0,1
