sample,station,tx_total_pkts,tx_total_bytes,tx_ucast_pkts,tx_ucast_bytes,tx_mcast_bcast_pkts,tx_mcast_bcast_bytes,tx_failures,rx_data_pkts,rx_data_bytes,rx_ucast_pkts,rx_ucast_bytes,rx_mcast_bcast_pkts,rx_mcast_bcast_bytes,rx_decrypt_succeeds,tx_data_pkts_retried,tx_total_pkts_sent,tx_pkts_retries,tx_pkts_retry_exhausted,rx_total_pkts_retried,rate_last_tx_pkt_min,rate_last_tx_pkt_max,per_antenna_rssi_last_rx_data_frame_1,per_antenna_rssi_last_rx_data_frame_2,per_antenna_rssi_last_rx_data_frame_3,per_antenna_rssi_last_rx_data_frame_4,per_antenna_avg_rssi_rx_data_frames_1,per_antenna_avg_rssi_rx_data_frames_2,per_antenna_avg_rssi_rx_data_frames_3,per_antenna_avg_rssi_rx_data_frames_4,per_antenna_noise_floor_1,per_antenna_noise_floor_2,per_antenna_noise_floor_3,per_antenna_noise_floor_4,sinr_per_antenna_1,sinr_per_antenna_2,sinr_per_antenna_3,sinr_per_antenna_4,attack
1,92:69:1D:31:68:E9,3834479,486725900,3827,3595450,3830652,483130450,0,4474,1067225,4344,1037910,130,29315,2051,10,3996,83,0,41,229410.0,130000.0,-51.0,-45.0,-43.0,-48.0,-51.0,-49.0,-44.0,-48.0,-90.0,-93.0,-89.0,-93.0,39.0,48.0,46.0,45.0,1
2,CC:2F:71:3F:1F:24,4490848,1191807499,660196,708677049,3830652,483130450,37,538576,569020062,537902,568939054,674,81008,520818,15,660444,69617,34,458,144444.0,43333.0,-69.0,-65.0,-67.0,-68.0,-69.0,-65.0,-67.0,-68.0,-90.0,-93.0,-89.0,-93.0,21.0,28.0,22.0,25.0,1
3,CC:2F:71:3E:C5:1F,3831474,483230802,822,100352,3830652,483130450,0,3437,288480,2835,217000,602,71480,868,8,1181,18,0,37,130000.0,39000.0,-69.0,-70.0,-68.0,-60.0,-69.0,-70.0,-67.0,-61.0,-90.0,-93.0,-89.0,-93.0,21.0,23.0,21.0,33.0,1
4,BA:8C:B9:54:50:24,3835427,489286669,4775,6156219,3830652,483130450,0,8659,1670696,8637,1667201,22,3495,2326,14,5184,38,0,55,216660.0,130000.0,-40.0,-37.0,-46.0,-51.0,-41.0,-35.0,-43.0,-47.0,-90.0,-93.0,-89.0,-93.0,50.0,56.0,43.0,42.0,1
5,92:69:1D:31:68:E9,3834483,486726435,3827,3595450,3830656,483130985,0,4474,1067225,4344,1037910,130,29315,2051,10,3996,83,0,41,229410.0,130000.0,-51.0,-45.0,-43.0,-48.0,-51.0,-49.0,-44.0,-48.0,-90.0,-93.0,-89.0,-93.0,39.0,48.0,46.0,45.0,1
6,CC:2F:71:3F:1F:24,4490895,1191822925,660239,708691940,3830656,483130985,37,538602,569024463,537928,568943455,674,81008,520843,15,660487,69633,34,458,144444.0,43333.0,-70.0,-64.0,-67.0,-69.0,-69.0,-64.0,-67.0,-69.0,-90.0,-93.0,-89.0,-93.0,20.0,29.0,22.0,24.0,1
7,CC:2F:71:3E:C5:1F,3831478,483231337,822,100352,3830656,483130985,0,3437,288480,2835,217000,602,71480,868,8,1181,18,0,37,130000.0,39000.0,-69.0,-70.0,-68.0,-60.0,-69.0,-70.0,-67.0,-61.0,-90.0,-93.0,-89.0,-93.0,21.0,23.0,21.0,33.0,1
8,BA:8C:B9:54:50:24,3835431,489287204,4775,6156219,3830656,483130985,0,8659,1670696,8637,1667201,22,3495,2326,14,5184,38,0,55,216660.0,130000.0,-40.0,-37.0,-46.0,-51.0,-41.0,-35.0,-43.0,-47.0,-90.0,-93.0,-89.0,-93.0,50.0,56.0,43.0,42.0,1
9,92:69:1D:31:68:E9,3834489,486727041,3827,3595450,3830662,483131591,0,4474,1067225,4344,1037910,130,29315,2051,10,3996,83,0,41,229410.0,130000.0,-51.0,-45.0,-43.0,-48.0,-51.0,-49.0,-44.0,-48.0,-90.0,-93.0,-89.0,-93.0,39.0,48.0,46.0,45.0,1
10,CC:2F:71:3F:1F:24,4490941,1191837835,660279,708706244,3830662,483131591,37,538624,569028313,537950,568947305,674,81008,520864,15,660527,69675,34,458,144444.0,43333.0,-69.0,-64.0,-68.0,-70.0,-70.0,-64.0,-67.0,-70.0,-90.0,-93.0,-89.0,-93.0,21.0,29.0,21.0,23.0,1
