sample,station,tx_total_pkts,tx_total_bytes,tx_ucast_pkts,tx_ucast_bytes,tx_mcast_bcast_pkts,tx_mcast_bcast_bytes,tx_failures,rx_data_pkts,rx_data_bytes,rx_ucast_pkts,rx_ucast_bytes,rx_mcast_bcast_pkts,rx_mcast_bcast_bytes,rx_decrypt_succeeds,tx_data_pkts_retried,tx_total_pkts_sent,tx_pkts_retries,tx_pkts_retry_exhausted,rx_total_pkts_retried,rate_last_tx_pkt_min,rate_last_tx_pkt_max,per_antenna_rssi_last_rx_data_frame_1,per_antenna_rssi_last_rx_data_frame_2,per_antenna_rssi_last_rx_data_frame_3,per_antenna_rssi_last_rx_data_frame_4,per_antenna_avg_rssi_rx_data_frames_1,per_antenna_avg_rssi_rx_data_frames_2,per_antenna_avg_rssi_rx_data_frames_3,per_antenna_avg_rssi_rx_data_frames_4,per_antenna_noise_floor_1,per_antenna_noise_floor_2,per_antenna_noise_floor_3,per_antenna_noise_floor_4,sinr_per_antenna_1,sinr_per_antenna_2,sinr_per_antenna_3,sinr_per_antenna_4,attack
1,CC:2F:71:3F:1F:24,3938956,685241139,177782,210837699,3761174,474403440,27,149163,170912252,149099,170904250,64,8002,143030,6,177779,18961,24,129,130000.0,43333.0,-68.0,-66.0,-70.0,-71.0,-68.0,-66.0,-69.0,-70.0,-90.0,-93.0,-90.0,-93.0,22.0,27.0,20.0,22.0,1
2,CC:2F:71:3E:C5:1F,3761253,474413170,79,9730,3761174,474403440,0,304,26338,246,19308,58,7030,86,2,105,4,0,5,144444.0,39000.0,-71.0,-71.0,-68.0,-60.0,-71.0,-70.0,-67.0,-60.0,-90.0,-93.0,-90.0,-93.0,19.0,22.0,22.0,33.0,1
3,BA:8C:B9:54:50:24,3761433,474485195,259,81755,3761174,474403440,0,1102,126701,1084,123855,18,2846,178,2,360,4,0,7,216660.0,130000.0,-40.0,-37.0,-45.0,-51.0,-42.0,-35.0,-43.0,-47.0,-90.0,-93.0,-90.0,-93.0,50.0,56.0,45.0,42.0,1
4,92:69:1D:31:68:E9,3773948,489655169,12774,15251729,3761174,474403440,3,19205,3550821,18511,3391199,694,159622,6440,105,14024,252,3,250,229410.0,130000.0,-51.0,-47.0,-42.0,-49.0,-51.0,-47.0,-43.0,-49.0,-90.0,-93.0,-90.0,-93.0,39.0,46.0,48.0,44.0,1
5,CC:2F:71:3F:1F:24,3939064,685360987,177890,210957547,3761174,474403440,27,149255,171026866,149191,171018864,64,8002,143117,6,177888,18965,24,129,117000.0,39000.0,-69.0,-66.0,-70.0,-69.0,-69.0,-66.0,-69.0,-69.0,-90.0,-93.0,-90.0,-93.0,21.0,27.0,20.0,24.0,1
6,CC:2F:71:3E:C5:1F,3761253,474413170,79,9730,3761174,474403440,0,304,26338,246,19308,58,7030,86,2,105,4,0,5,144444.0,39000.0,-71.0,-71.0,-68.0,-60.0,-71.0,-70.0,-67.0,-60.0,-90.0,-93.0,-90.0,-93.0,19.0,22.0,22.0,33.0,1
7,BA:8C:B9:54:50:24,3761435,474485397,259,81755,3761176,474403642,0,1102,126701,1084,123855,18,2846,178,2,360,4,0,7,216660.0,130000.0,-40.0,-37.0,-45.0,-51.0,-42.0,-35.0,-43.0,-47.0,-90.0,-93.0,-90.0,-93.0,50.0,56.0,45.0,42.0,1
8,92:69:1D:31:68:E9,3773950,489655371,12774,15251729,3761176,474403642,3,19205,3550821,18511,3391199,694,159622,6440,105,14024,252,3,250,229410.0,130000.0,-51.0,-47.0,-42.0,-49.0,-51.0,-47.0,-43.0,-49.0,-90.0,-93.0,-90.0,-93.0,39.0,46.0,48.0,44.0,1
9,CC:2F:71:3F:1F:24,3939178,685481383,177996,211077135,3761182,474404248,27,149349,171143108,149285,171135106,64,8002,143208,6,177994,18965,24,129,130000.0,43333.0,-70.0,-66.0,-70.0,-70.0,-70.0,-66.0,-69.0,-70.0,-90.0,-93.0,-90.0,-93.0,20.0,27.0,20.0,23.0,1
10,CC:2F:71:3E:C5:1F,3761261,474413978,79,9730,3761182,474404248,0,304,26338,246,19308,58,7030,86,2,105,4,0,5,144444.0,39000.0,-71.0,-71.0,-68.0,-60.0,-71.0,-70.0,-67.0,-60.0,-90.0,-93.0,-90.0,-93.0,19.0,22.0,22.0,33.0,1
11,BA:8C:B9:54:50:24,3761441,474486003,259,81755,3761182,474404248,0,1102,126701,1084,123855,18,2846,178,2,360,4,0,7,216660.0,130000.0,-40.0,-37.0,-45.0,-51.0,-42.0,-35.0,-43.0,-47.0,-90.0,-93.0,-90.0,-93.0,50.0,56.0,45.0,42.0,1
12,92:69:1D:31:68:E9,3773956,489655977,12774,15251729,3761182,474404248,3,19205,3550821,18511,3391199,694,159622,6440,105,14024,252,3,250,229410.0,130000.0,-51.0,-47.0,-42.0,-49.0,-51.0,-47.0,-43.0,-49.0,-90.0,-93.0,-90.0,-93.0,39.0,46.0,48.0,44.0,1
13,CC:2F:71:3F:1F:24,3939292,685603190,178109,211198882,3761183,474404308,27,149444,171249948,149380,171241946,64,8002,143303,6,178106,18965,24,129,130000.0,43333.0,-70.0,-66.0,-70.0,-71.0,-70.0,-66.0,-69.0,-70.0,-90.0,-93.0,-90.0,-93.0,20.0,27.0,20.0,22.0,1
