sample,station,tx_total_pkts,tx_total_bytes,tx_ucast_pkts,tx_ucast_bytes,tx_mcast_bcast_pkts,tx_mcast_bcast_bytes,tx_failures,rx_data_pkts,rx_data_bytes,rx_ucast_pkts,rx_ucast_bytes,rx_mcast_bcast_pkts,rx_mcast_bcast_bytes,rx_decrypt_succeeds,tx_data_pkts_retried,tx_total_pkts_sent,tx_pkts_retries,tx_pkts_retry_exhausted,rx_total_pkts_retried,rate_last_tx_pkt_min,rate_last_tx_pkt_max,per_antenna_rssi_last_rx_data_frame_1,per_antenna_rssi_last_rx_data_frame_2,per_antenna_rssi_last_rx_data_frame_3,per_antenna_rssi_last_rx_data_frame_4,per_antenna_avg_rssi_rx_data_frames_1,per_antenna_avg_rssi_rx_data_frames_2,per_antenna_avg_rssi_rx_data_frames_3,per_antenna_avg_rssi_rx_data_frames_4,per_antenna_noise_floor_1,per_antenna_noise_floor_2,per_antenna_noise_floor_3,per_antenna_noise_floor_4,sinr_per_antenna_1,sinr_per_antenna_2,sinr_per_antenna_3,sinr_per_antenna_4,attack
1,62:47:05:9D:EB:15,3852587,497208200,6732,12179900,3845855,485028300,1,6930,3799150,6880,3791492,50,7658,3308,0,6794,56,1,125,216660.0,130000.0,-44.0,-45.0,-35.0,-47.0,-43.0,-45.0,-36.0,-46.0,-90.0,-93.0,-90.0,-93.0,46.0,48.0,55.0,46.0,1
2,92:69:1D:31:68:E9,3849893,488680185,4038,3651885,3845855,485028300,1,5362,1154569,5194,1116421,168,38148,2199,12,4287,103,1,60,229410.0,130000.0,-52.0,-48.0,-45.0,-47.0,-52.0,-47.0,-43.0,-47.0,-90.0,-93.0,-90.0,-93.0,38.0,45.0,45.0,46.0,1
3,CC:2F:71:3F:1F:24,4990063,1792006357,1144208,1306978057,3845855,485028300,1730,957967,1081385716,957143,1081286118,824,99598,925782,15,1142833,119389,1727,751,130000.0,43333.0,-70.0,-69.0,-67.0,-74.0,-70.0,-69.0,-66.0,-73.0,-90.0,-93.0,-90.0,-93.0,20.0,24.0,23.0,19.0,1
4,CC:2F:71:3E:C5:1F,3846834,485148017,979,119717,3845855,485028300,2,4242,354243,3530,269697,712,84546,1038,13,1406,28,2,54,144444.0,39000.0,-72.0,-71.0,-61.0,-60.0,-72.0,-71.0,-67.0,-60.0,-90.0,-93.0,-90.0,-93.0,18.0,22.0,29.0,33.0,1
5,BA:8C:B9:54:50:24,3850780,491221524,4922,6192962,3845858,485028562,7,9709,1748726,9687,1745231,22,3495,2358,17,5418,41,7,70,216660.0,130000.0,-49.0,-35.0,-43.0,-45.0,-45.0,-34.0,-43.0,-46.0,-90.0,-93.0,-90.0,-93.0,41.0,58.0,47.0,48.0,1
6,62:47:05:9D:EB:15,3852596,497209004,6732,12179900,3845864,485029104,1,6930,3799150,6880,3791492,50,7658,3308,0,6794,56,1,125,216660.0,130000.0,-44.0,-45.0,-35.0,-47.0,-43.0,-45.0,-36.0,-46.0,-90.0,-93.0,-90.0,-93.0,46.0,48.0,55.0,46.0,1
7,92:69:1D:31:68:E9,3849902,488680989,4038,3651885,3845864,485029104,1,5362,1154569,5194,1116421,168,38148,2199,12,4287,103,1,60,229410.0,130000.0,-52.0,-48.0,-45.0,-47.0,-52.0,-47.0,-43.0,-47.0,-90.0,-93.0,-90.0,-93.0,38.0,45.0,45.0,46.0,1
8,CC:2F:71:3F:1F:24,4990264,1792251363,1144400,1307222259,3845864,485029104,1730,958138,1081615072,957314,1081515474,824,99598,925953,15,1143025,119391,1727,751,144444.0,43333.0,-69.0,-68.0,-67.0,-74.0,-69.0,-68.0,-66.0,-73.0,-90.0,-93.0,-90.0,-93.0,21.0,25.0,23.0,19.0,1
9,CC:2F:71:3E:C5:1F,3846844,485148937,980,119833,3845864,485029104,2,4243,354313,3531,269767,712,84546,1038,13,1407,28,2,54,144444.0,39000.0,-72.0,-73.0,-70.0,-61.0,-72.0,-71.0,-67.0,-60.0,-90.0,-93.0,-90.0,-93.0,18.0,20.0,20.0,32.0,1
10,BA:8C:B9:54:50:24,3850786,491222066,4922,6192962,3845864,485029104,7,9709,1748726,9687,1745231,22,3495,2358,17,5418,41,7,70,216660.0,130000.0,-49.0,-35.0,-43.0,-45.0,-45.0,-34.0,-43.0,-46.0,-90.0,-93.0,-90.0,-93.0,41.0,58.0,47.0,48.0,1
11,62:47:05:9D:EB:15,3852598,497209206,6732,12179900,3845866,485029306,1,6930,3799150,6880,3791492,50,7658,3308,0,6794,56,1,125,216660.0,130000.0,-44.0,-45.0,-35.0,-47.0,-43.0,-45.0,-36.0,-46.0,-91.0,-93.0,-90.0,-93.0,47.0,48.0,55.0,46.0,1
12,92:69:1D:31:68:E9,3849905,488681307,4039,3652001,3845866,485029306,1,5364,1154705,5196,1116557,168,38148,2199,12,4288,103,1,60,229410.0,130000.0,-53.0,-47.0,-42.0,-48.0,-52.0,-47.0,-43.0,-47.0,-91.0,-93.0,-90.0,-93.0,38.0,46.0,48.0,45.0,1
13,CC:2F:71:3F:1F:24,4990462,1792496325,1144593,1307466757,3845869,485029568,1730,958309,1081844428,957485,1081744830,824,99598,926124,15,1143218,119396,1727,751,144444.0,43333.0,-69.0,-69.0,-68.0,-74.0,-69.0,-68.0,-67.0,-74.0,-91.0,-93.0,-90.0,-93.0,22.0,24.0,22.0,19.0,1
14,CC:2F:71:3E:C5:1F,3846851,485149603,980,119833,3845871,485029770,2,4244,354383,3532,269837,712,84546,1038,13,1407,28,2,54,144444.0,39000.0,-82.0,-84.0,-75.0,-71.0,-73.0,-73.0,-68.0,-61.0,-91.0,-93.0,-90.0,-93.0,9.0,9.0,15.0,22.0,1
15,BA:8C:B9:54:50:24,3850795,491222910,4923,6193078,3845872,485029832,7,9711,1748862,9689,1745367,22,3495,2358,17,5419,41,7,70,216660.0,130000.0,-51.0,-35.0,-43.0,-45.0,-44.0,-35.0,-43.0,-47.0,-91.0,-93.0,-90.0,-93.0,40.0,58.0,47.0,48.0,1
16,62:47:05:9D:EB:15,3852608,497210110,6733,12180016,3845875,485030094,1,6932,3799286,6882,3791628,50,7658,3308,0,6795,56,1,125,216660.0,130000.0,-43.0,-45.0,-35.0,-48.0,-43.0,-46.0,-36.0,-46.0,-91.0,-93.0,-90.0,-93.0,48.0,48.0,55.0,45.0,1
