sample,station,tx_total_pkts,tx_total_bytes,tx_ucast_pkts,tx_ucast_bytes,tx_mcast_bcast_pkts,tx_mcast_bcast_bytes,tx_failures,rx_data_pkts,rx_data_bytes,rx_ucast_pkts,rx_ucast_bytes,rx_mcast_bcast_pkts,rx_mcast_bcast_bytes,rx_decrypt_succeeds,tx_data_pkts_retried,tx_total_pkts_sent,tx_pkts_retries,tx_pkts_retry_exhausted,rx_total_pkts_retried,rate_last_tx_pkt_min,rate_last_tx_pkt_max,per_antenna_rssi_last_rx_data_frame_1,per_antenna_rssi_last_rx_data_frame_2,per_antenna_rssi_last_rx_data_frame_3,per_antenna_rssi_last_rx_data_frame_4,per_antenna_avg_rssi_rx_data_frames_1,per_antenna_avg_rssi_rx_data_frames_2,per_antenna_avg_rssi_rx_data_frames_3,per_antenna_avg_rssi_rx_data_frames_4,per_antenna_noise_floor_1,per_antenna_noise_floor_2,per_antenna_noise_floor_3,per_antenna_noise_floor_4,sinr_per_antenna_1,sinr_per_antenna_2,sinr_per_antenna_3,sinr_per_antenna_4,attack
1,F8:59:71:5A:E0:3D,3263202,477967519,54161,72635532,3209041,405331987,0,51659,31337419,46897,30768411,4762,569008,29905,16,56873,1419,0,475,144444.0,43333.0,-67.0,-75.0,-65.0,-70.0,-67.0,-74.0,-65.0,-70.0,-88.0,-91.0,-87.0,-91.0,21.0,16.0,22.0,21.0,1
2,CC:2F:71:3E:C5:1F,3220375,406718398,11334,1386411,3209041,405331987,6,48441,4055847,40040,3060461,8401,995386,11949,34,16298,186,6,818,130000.0,39000.0,-69.0,-69.0,-68.0,-61.0,-70.0,-70.0,-68.0,-62.0,-88.0,-91.0,-87.0,-91.0,19.0,22.0,19.0,30.0,1
3,CC:2F:71:3F:1F:24,7304093,6645786428,4095052,6240454441,3209041,405331987,78,917490,540705408,908999,539685630,8491,1019778,867138,618,4099770,403296,78,5352,130000.0,43333.0,-68.0,-64.0,-74.0,-70.0,-68.0,-64.0,-74.0,-69.0,-88.0,-91.0,-87.0,-91.0,20.0,27.0,13.0,21.0,1
4,F8:59:71:5A:E0:3D,3263268,478070083,54227,72738096,3209041,405331987,0,51724,31437519,46962,30868511,4762,569008,29970,16,56938,1425,0,475,144444.0,43333.0,-67.0,-75.0,-65.0,-70.0,-66.0,-74.0,-65.0,-69.0,-88.0,-91.0,-87.0,-91.0,21.0,16.0,22.0,21.0,1
5,CC:2F:71:3E:C5:1F,3220377,406718600,11334,1386411,3209043,405332189,6,48441,4055847,40040,3060461,8401,995386,11949,34,16298,186,6,818,130000.0,39000.0,-69.0,-69.0,-68.0,-61.0,-70.0,-70.0,-68.0,-62.0,-88.0,-91.0,-87.0,-91.0,19.0,22.0,19.0,30.0,1
6,CC:2F:71:3F:1F:24,7304261,6646001034,4095217,6240668785,3209044,405332249,78,917641,540912038,909150,539892260,8491,1019778,867287,618,4099935,403302,78,5352,130000.0,43333.0,-69.0,-64.0,-75.0,-70.0,-69.0,-64.0,-74.0,-70.0,-88.0,-91.0,-87.0,-91.0,19.0,27.0,12.0,21.0,1
7,F8:59:71:5A:E0:3D,3263338,478168651,54290,72835998,3209048,405332653,0,51788,31536079,47026,30967071,4762,569008,30034,16,57002,1427,0,475,144444.0,43333.0,-67.0,-74.0,-65.0,-70.0,-66.0,-74.0,-65.0,-69.0,-88.0,-91.0,-87.0,-91.0,21.0,17.0,22.0,21.0,1
8,CC:2F:71:3E:C5:1F,3220384,406719266,11334,1386411,3209050,405332855,6,48441,4055847,40040,3060461,8401,995386,11949,34,16298,186,6,818,130000.0,39000.0,-69.0,-69.0,-68.0,-61.0,-70.0,-70.0,-68.0,-62.0,-88.0,-91.0,-87.0,-91.0,19.0,22.0,19.0,30.0,1
9,CC:2F:71:3F:1F:24,7304424,6646206186,4095374,6240873331,3209050,405332855,78,917784,541107698,909293,540087920,8491,1019778,867430,618,4100092,403308,78,5352,144444.0,43333.0,-69.0,-65.0,-74.0,-70.0,-69.0,-64.0,-73.0,-70.0,-88.0,-91.0,-87.0,-91.0,19.0,26.0,13.0,21.0,1
10,F8:59:71:5A:E0:3D,3263405,478268425,54355,72935570,3209050,405332855,0,51852,31634639,47090,31065631,4762,569008,30098,16,57067,1433,0,475,144444.0,43333.0,-67.0,-74.0,-65.0,-70.0,-67.0,-74.0,-65.0,-69.0,-88.0,-91.0,-87.0,-91.0,21.0,17.0,22.0,21.0,1
11,CC:2F:71:3E:C5:1F,3220385,406719382,11335,1386527,3209050,405332855,6,48443,4055987,40042,3060601,8401,995386,11949,34,16299,186,6,818,130000.0,39000.0,-69.0,-69.0,-68.0,-61.0,-70.0,-70.0,-68.0,-62.0,-88.0,-91.0,-87.0,-91.0,19.0,22.0,19.0,30.0,1
12,CC:2F:71:3F:1F:24,7304584,6646414124,4095534,6241081269,3209050,405332855,78,917930,541307978,909439,540288200,8491,1019778,867576,618,4100252,403314,78,5352,144444.0,43333.0,-69.0,-64.0,-74.0,-70.0,-68.0,-64.0,-73.0,-70.0,-88.0,-91.0,-87.0,-91.0,19.0,27.0,13.0,21.0,1
13,F8:59:71:5A:E0:3D,3263475,478365501,54417,73031918,3209058,405333583,0,51917,31733373,47154,31164247,4763,569126,30161,16,57129,1434,0,475,144444.0,43333.0,-67.0,-74.0,-65.0,-70.0,-67.0,-74.0,-65.0,-70.0,-88.0,-91.0,-87.0,-91.0,21.0,17.0,22.0,21.0,1
14,CC:2F:71:3E:C5:1F,3220393,406720110,11335,1386527,3209058,405333583,6,48443,4055987,40042,3060601,8401,995386,11949,34,16299,186,6,818,130000.0,39000.0,-69.0,-69.0,-68.0,-61.0,-70.0,-70.0,-68.0,-62.0,-88.0,-91.0,-87.0,-91.0,19.0,22.0,19.0,30.0,1
15,CC:2F:71:3F:1F:24,7304758,6646627289,4095700,6241293706,3209058,405333583,78,918083,541512480,909592,540492702,8491,1019778,867727,618,4100418,403337,78,5352,130000.0,43333.0,-68.0,-65.0,-73.0,-70.0,-68.0,-64.0,-73.0,-69.0,-88.0,-91.0,-87.0,-91.0,20.0,26.0,14.0,21.0,1
16,F8:59:71:5A:E0:3D,3263541,478465159,54481,73131374,3209060,405333785,0,51981,31831933,47218,31262807,4763,569126,30225,16,57193,1440,0,475,144444.0,43333.0,-67.0,-74.0,-65.0,-69.0,-67.0,-74.0,-65.0,-69.0,-88.0,-91.0,-87.0,-92.0,21.0,17.0,22.0,23.0,1
17,CC:2F:71:3E:C5:1F,3220395,406720312,11335,1386527,3209060,405333785,6,48443,4055987,40042,3060601,8401,995386,11949,34,16299,186,6,818,130000.0,39000.0,-69.0,-69.0,-68.0,-61.0,-70.0,-70.0,-68.0,-62.0,-88.0,-91.0,-87.0,-92.0,19.0,22.0,19.0,31.0,1
18,CC:2F:71:3F:1F:24,7304917,6646832205,4095857,6241498420,3209060,405333785,78,918226,541711002,909735,540691224,8491,1019778,867869,618,4100575,403347,78,5352,130000.0,43333.0,-68.0,-64.0,-73.0,-70.0,-68.0,-64.0,-73.0,-70.0,-88.0,-91.0,-87.0,-92.0,20.0,27.0,14.0,22.0,1
19,F8:59:71:5A:E0:3D,3263611,478563729,54544,73229276,3209067,405334453,0,52044,31928953,47281,31359827,4763,569126,30288,16,57256,1441,0,475,144444.0,43333.0,-67.0,-74.0,-65.0,-70.0,-67.0,-74.0,-65.0,-69.0,-88.0,-91.0,-87.0,-92.0,21.0,17.0,22.0,22.0,1
