sample,station,tx_total_pkts,tx_total_bytes,tx_ucast_pkts,tx_ucast_bytes,tx_mcast_bcast_pkts,tx_mcast_bcast_bytes,tx_failures,rx_data_pkts,rx_data_bytes,rx_ucast_pkts,rx_ucast_bytes,rx_mcast_bcast_pkts,rx_mcast_bcast_bytes,rx_decrypt_succeeds,tx_data_pkts_retried,tx_total_pkts_sent,tx_pkts_retries,tx_pkts_retry_exhausted,rx_total_pkts_retried,rate_last_tx_pkt_min,rate_last_tx_pkt_max,per_antenna_rssi_last_rx_data_frame_1,per_antenna_rssi_last_rx_data_frame_2,per_antenna_rssi_last_rx_data_frame_3,per_antenna_rssi_last_rx_data_frame_4,per_antenna_avg_rssi_rx_data_frames_1,per_antenna_avg_rssi_rx_data_frames_2,per_antenna_avg_rssi_rx_data_frames_3,per_antenna_avg_rssi_rx_data_frames_4,per_antenna_noise_floor_1,per_antenna_noise_floor_2,per_antenna_noise_floor_3,per_antenna_noise_floor_4,sinr_per_antenna_1,sinr_per_antenna_2,sinr_per_antenna_3,sinr_per_antenna_4,attack
1,92:69:1D:31:68:E9,3248196,451212093,21035,43604394,3227161,407607699,0,9715,3172257,9638,3159324,77,12933,6421,1,21079,1040,0,90,229410.0,137640.0,-50.0,-50.0,-46.0,-48.0,-49.0,-50.0,-46.0,-48.0,-81.0,-91.0,-83.0,-89.0,31.0,41.0,37.0,41.0,1
2,BA:8C:B9:54:50:24,3257913,474846503,30752,67238804,3227161,407607699,0,11693,3866706,11603,3851447,90,15259,7413,6,30781,5504,0,135,216660.0,130000.0,-47.0,-55.0,-52.0,-64.0,-54.0,-59.0,-57.0,-61.0,-81.0,-91.0,-83.0,-89.0,34.0,36.0,31.0,25.0,1
3,62:47:05:9D:EB:15,3230342,415210711,3181,7603012,3227161,407607699,0,741,141798,711,136173,30,5625,390,0,3212,1151,0,9,229410.0,130000.0,-45.0,-45.0,-45.0,-49.0,-44.0,-45.0,-44.0,-49.0,-81.0,-91.0,-83.0,-89.0,36.0,46.0,38.0,40.0,1
4,F8:59:71:5A:E0:3D,3457308,753162899,230143,345554796,3227165,407608103,3,228785,303291930,223885,302706544,4900,585386,205801,19,232894,5138,3,668,144444.0,43333.0,-67.0,-74.0,-66.0,-70.0,-66.0,-74.0,-65.0,-70.0,-81.0,-91.0,-83.0,-89.0,14.0,17.0,17.0,19.0,1
5,CC:2F:71:3E:C5:1F,3238685,409017283,11520,1409180,3227165,407608103,6,49126,4114698,40587,3102942,8539,1011756,12147,35,16510,188,6,848,144444.0,39000.0,-69.0,-71.0,-70.0,-60.0,-69.0,-72.0,-70.0,-61.0,-81.0,-91.0,-83.0,-89.0,12.0,20.0,13.0,29.0,1
6,CC:2F:71:3F:1F:24,11469922,13055486735,8242757,12647878632,3227165,407608103,94,1834453,1043503012,1825804,1042464024,8649,1038988,1773627,620,8247485,868467,94,6425,86667.0,14444.0,-68.0,-68.0,-76.0,-71.0,-68.0,-68.0,-75.0,-70.0,-81.0,-91.0,-83.0,-89.0,13.0,23.0,7.0,18.0,1
7,92:69:1D:31:68:E9,3248204,451212901,21035,43604394,3227169,407608507,0,9716,3172325,9639,3159392,77,12933,6421,1,21079,1040,0,90,229410.0,137640.0,-54.0,-51.0,-46.0,-50.0,-50.0,-50.0,-46.0,-48.0,-81.0,-91.0,-83.0,-89.0,27.0,40.0,37.0,39.0,1
8,BA:8C:B9:54:50:24,3257921,474847311,30752,67238804,3227169,407608507,0,11693,3866706,11603,3851447,90,15259,7413,6,30781,5504,0,135,216660.0,130000.0,-47.0,-55.0,-52.0,-64.0,-54.0,-59.0,-57.0,-61.0,-81.0,-91.0,-83.0,-89.0,34.0,36.0,31.0,25.0,1
9,62:47:05:9D:EB:15,3230350,415211519,3181,7603012,3227169,407608507,0,741,141798,711,136173,30,5625,390,0,3212,1151,0,9,229410.0,130000.0,-45.0,-45.0,-45.0,-49.0,-44.0,-45.0,-44.0,-49.0,-81.0,-91.0,-83.0,-89.0,36.0,46.0,38.0,40.0,1
10,F8:59:71:5A:E0:3D,3457401,753300115,230231,345691548,3227170,407608567,3,228874,303428990,223974,302843604,4900,585386,205890,19,232982,5139,3,668,144444.0,43333.0,-67.0,-75.0,-67.0,-70.0,-67.0,-74.0,-66.0,-70.0,-81.0,-91.0,-83.0,-89.0,14.0,16.0,16.0,19.0,1
11,CC:2F:71:3E:C5:1F,3238690,409017747,11520,1409180,3227170,407608567,6,49126,4114698,40587,3102942,8539,1011756,12147,35,16510,188,6,848,144444.0,39000.0,-69.0,-71.0,-70.0,-60.0,-69.0,-72.0,-70.0,-61.0,-81.0,-91.0,-83.0,-89.0,12.0,20.0,13.0,29.0,1
12,CC:2F:71:3F:1F:24,11471442,13057802478,8244272,12650193911,3227170,407608567,94,1834889,1043798079,1826240,1042759091,8649,1038988,1774063,620,8248989,868517,94,6425,86667.0,14444.0,-68.0,-68.0,-76.0,-71.0,-68.0,-68.0,-76.0,-70.0,-81.0,-91.0,-83.0,-89.0,13.0,23.0,7.0,18.0,1
