sample,station,tx_total_pkts,tx_total_bytes,tx_ucast_pkts,tx_ucast_bytes,tx_mcast_bcast_pkts,tx_mcast_bcast_bytes,tx_failures,rx_data_pkts,rx_data_bytes,rx_ucast_pkts,rx_ucast_bytes,rx_mcast_bcast_pkts,rx_mcast_bcast_bytes,rx_decrypt_succeeds,tx_data_pkts_retried,tx_total_pkts_sent,tx_pkts_retries,tx_pkts_retry_exhausted,rx_total_pkts_retried,rate_last_tx_pkt_min,rate_last_tx_pkt_max,per_antenna_rssi_last_rx_data_frame_1,per_antenna_rssi_last_rx_data_frame_2,per_antenna_rssi_last_rx_data_frame_3,per_antenna_rssi_last_rx_data_frame_4,per_antenna_avg_rssi_rx_data_frames_1,per_antenna_avg_rssi_rx_data_frames_2,per_antenna_avg_rssi_rx_data_frames_3,per_antenna_avg_rssi_rx_data_frames_4,per_antenna_noise_floor_1,per_antenna_noise_floor_2,per_antenna_noise_floor_3,per_antenna_noise_floor_4,sinr_per_antenna_1,sinr_per_antenna_2,sinr_per_antenna_3,sinr_per_antenna_4,attack
1,62:47:05:9D:EB:15,3841901,486705379,2089,2416262,3839812,484289117,0,4173,3001170,4142,2996189,31,4981,2038,0,2130,53,0,105,216660.0,130000.0,-50.0,-44.0,-39.0,-47.0,-47.0,-46.0,-40.0,-48.0,-88.0,-89.0,-85.0,-88.0,38.0,45.0,46.0,41.0,1
2,3C:55:76:E8:8F:1F,3908854,656935511,69040,172646192,3839814,484289319,25,32969,6889846,32532,6814278,437,75568,14084,35,69113,7032,25,421,286760.0,172050.0,-45.0,-54.0,-52.0,-41.0,-43.0,-52.0,-51.0,-39.0,-88.0,-89.0,-85.0,-88.0,43.0,35.0,33.0,47.0,1
3,92:69:1D:31:68:E9,3843776,487919737,3962,3630418,3839814,484289319,0,4989,1121677,4835,1086819,154,34858,2145,11,4187,91,0,50,229410.0,130000.0,-52.0,-48.0,-44.0,-47.0,-52.0,-47.0,-43.0,-47.0,-88.0,-89.0,-85.0,-88.0,36.0,41.0,41.0,41.0,1
4,CC:2F:71:3F:1F:24,4761257,1504915477,921443,1020626158,3839814,484289319,37,759865,827636922,759113,827546518,752,90404,733447,15,921700,96282,34,574,130000.0,43333.0,-67.0,-72.0,-67.0,-73.0,-67.0,-72.0,-67.0,-73.0,-88.0,-89.0,-85.0,-88.0,21.0,17.0,18.0,15.0,1
5,CC:2F:71:3E:C5:1F,3840733,484401773,918,112181,3839815,484289592,0,3827,321463,3158,242077,669,79386,972,11,1319,25,0,47,144444.0,39000.0,-72.0,-72.0,-69.0,-60.0,-71.0,-71.0,-68.0,-60.0,-88.0,-89.0,-85.0,-88.0,16.0,17.0,16.0,28.0,1
6,BA:8C:B9:54:50:24,3844683,490475955,4868,6186363,3839815,484289592,0,9217,1714733,9195,1711238,22,3495,2351,16,5334,40,0,62,216660.0,130000.0,-48.0,-35.0,-43.0,-45.0,-47.0,-34.0,-42.0,-45.0,-88.0,-89.0,-85.0,-88.0,40.0,54.0,42.0,43.0,1
7,62:47:05:9D:EB:15,3841906,486706056,2089,2416262,3839817,484289794,0,4173,3001170,4142,2996189,31,4981,2038,0,2130,53,0,105,216660.0,130000.0,-50.0,-44.0,-39.0,-47.0,-47.0,-46.0,-40.0,-48.0,-88.0,-89.0,-85.0,-88.0,38.0,45.0,46.0,41.0,1
8,3C:55:76:E8:8F:1F,3908857,656935986,69040,172646192,3839817,484289794,25,32969,6889846,32532,6814278,437,75568,14084,35,69113,7032,25,421,286760.0,172050.0,-45.0,-54.0,-52.0,-41.0,-43.0,-52.0,-51.0,-39.0,-88.0,-89.0,-85.0,-88.0,43.0,35.0,33.0,47.0,1
9,92:69:1D:31:68:E9,3843779,487920212,3962,3630418,3839817,484289794,0,4992,1121881,4838,1087023,154,34858,2145,11,4187,91,0,51,229410.0,130000.0,-53.0,-46.0,-42.0,-48.0,-52.0,-47.0,-43.0,-48.0,-88.0,-89.0,-85.0,-88.0,35.0,43.0,43.0,40.0,1
10,CC:2F:71:3F:1F:24,4761472,1505182136,921655,1020892342,3839817,484289794,37,760054,827888800,759302,827798396,752,90404,733633,15,921912,96287,34,574,130000.0,43333.0,-67.0,-71.0,-66.0,-73.0,-67.0,-71.0,-66.0,-73.0,-88.0,-89.0,-85.0,-88.0,21.0,18.0,19.0,15.0,1
