sample,station,tx_total_pkts,tx_total_bytes,tx_ucast_pkts,tx_ucast_bytes,tx_mcast_bcast_pkts,tx_mcast_bcast_bytes,tx_failures,rx_data_pkts,rx_data_bytes,rx_ucast_pkts,rx_ucast_bytes,rx_mcast_bcast_pkts,rx_mcast_bcast_bytes,rx_decrypt_succeeds,tx_data_pkts_retried,tx_total_pkts_sent,tx_pkts_retries,tx_pkts_retry_exhausted,rx_total_pkts_retried,rate_last_tx_pkt_min,rate_last_tx_pkt_max,per_antenna_rssi_last_rx_data_frame_1,per_antenna_rssi_last_rx_data_frame_2,per_antenna_rssi_last_rx_data_frame_3,per_antenna_rssi_last_rx_data_frame_4,per_antenna_avg_rssi_rx_data_frames_1,per_antenna_avg_rssi_rx_data_frames_2,per_antenna_avg_rssi_rx_data_frames_3,per_antenna_avg_rssi_rx_data_frames_4,per_antenna_noise_floor_1,per_antenna_noise_floor_2,per_antenna_noise_floor_3,per_antenna_noise_floor_4,sinr_per_antenna_1,sinr_per_antenna_2,sinr_per_antenna_3,sinr_per_antenna_4,attack
1,62:47:05:9D:EB:15,3880217,533624584,21256,46961932,3858961,486662652,1,17407,5989642,17311,5975183,96,14459,8130,1,21361,464,1,179,229410.0,130000.0,-40.0,-41.0,-41.0,-44.0,-40.0,-41.0,-40.0,-44.0,-90.0,-93.0,-90.0,-93.0,50.0,52.0,49.0,49.0,1
2,92:69:1D:31:68:E9,3863309,490417770,4348,3755118,3858961,486662652,1,6228,1293842,6027,1247939,201,45903,2444,16,4663,108,1,73,229410.0,130000.0,-53.0,-47.0,-42.0,-49.0,-51.0,-47.0,-44.0,-47.0,-90.0,-93.0,-90.0,-93.0,37.0,46.0,48.0,44.0,1
3,CC:2F:71:3F:1F:24,5313970,2132325817,1455009,1645663165,3858961,486662652,2222,1214448,1361577816,1213485,1361460952,963,116864,1174519,15,1453151,134904,2219,908,144444.0,43333.0,-70.0,-69.0,-68.0,-72.0,-69.0,-69.0,-68.0,-72.0,-90.0,-93.0,-90.0,-93.0,20.0,24.0,22.0,21.0,1
4,CC:2F:71:3E:C5:1F,3860076,486798863,1115,136211,3858961,486662652,3,4870,405841,4058,309495,812,96346,1180,16,1609,32,3,55,130000.0,39000.0,-73.0,-73.0,-69.0,-60.0,-70.0,-71.0,-67.0,-60.0,-90.0,-93.0,-90.0,-93.0,17.0,20.0,21.0,33.0,1
5,BA:8C:B9:54:50:24,3864027,492899759,5066,6237107,3858961,486662652,7,10581,1817632,10559,1814137,22,3495,2399,19,5640,46,7,80,229410.0,130000.0,-50.0,-34.0,-43.0,-44.0,-42.0,-35.0,-42.0,-47.0,-90.0,-93.0,-90.0,-93.0,40.0,59.0,47.0,49.0,1
6,62:47:05:9D:EB:15,3880220,533624846,21256,46961932,3858964,486662914,1,17407,5989642,17311,5975183,96,14459,8130,1,21361,464,1,179,229410.0,130000.0,-40.0,-41.0,-41.0,-44.0,-40.0,-41.0,-40.0,-44.0,-90.0,-93.0,-90.0,-93.0,50.0,52.0,49.0,49.0,1
7,92:69:1D:31:68:E9,3863314,490418234,4348,3755118,3858966,486663116,1,6228,1293842,6027,1247939,201,45903,2444,16,4663,108,1,73,229410.0,130000.0,-53.0,-47.0,-42.0,-49.0,-51.0,-47.0,-44.0,-47.0,-90.0,-93.0,-90.0,-93.0,37.0,46.0,48.0,44.0,1
8,CC:2F:71:3F:1F:24,5314020,2132343667,1455054,1645680551,3858966,486663116,2222,1214473,1361582286,1213510,1361465422,963,116864,1174543,15,1453196,134904,2219,908,144444.0,43333.0,-69.0,-67.0,-68.0,-73.0,-69.0,-67.0,-68.0,-72.0,-90.0,-93.0,-90.0,-93.0,21.0,26.0,22.0,20.0,1
9,CC:2F:71:3E:C5:1F,3860081,486799327,1115,136211,3858966,486663116,3,4870,405841,4058,309495,812,96346,1180,16,1609,32,3,55,130000.0,39000.0,-73.0,-73.0,-69.0,-60.0,-70.0,-71.0,-67.0,-60.0,-90.0,-93.0,-90.0,-93.0,17.0,20.0,21.0,33.0,1
10,BA:8C:B9:54:50:24,3864032,492900223,5066,6237107,3858966,486663116,7,10581,1817632,10559,1814137,22,3495,2399,19,5640,46,7,80,229410.0,130000.0,-50.0,-34.0,-43.0,-44.0,-42.0,-35.0,-42.0,-47.0,-90.0,-93.0,-90.0,-93.0,40.0,59.0,47.0,49.0,1
11,62:47:05:9D:EB:15,3880226,533625452,21256,46961932,3858970,486663520,1,17407,5989642,17311,5975183,96,14459,8130,1,21361,464,1,179,229410.0,130000.0,-40.0,-41.0,-41.0,-44.0,-40.0,-41.0,-40.0,-44.0,-90.0,-93.0,-90.0,-93.0,50.0,52.0,49.0,49.0,1
12,92:69:1D:31:68:E9,3863318,490418638,4348,3755118,3858970,486663520,1,6228,1293842,6027,1247939,201,45903,2444,16,4663,108,1,73,229410.0,130000.0,-53.0,-47.0,-42.0,-49.0,-51.0,-47.0,-44.0,-47.0,-90.0,-93.0,-90.0,-93.0,37.0,46.0,48.0,44.0,1
13,CC:2F:71:3F:1F:24,5314069,2132361457,1455099,1645697937,3858970,486663520,2222,1214498,1361586756,1213535,1361469892,963,116864,1174567,15,1453241,134904,2219,908,144444.0,43333.0,-70.0,-68.0,-69.0,-72.0,-71.0,-70.0,-69.0,-74.0,-90.0,-93.0,-90.0,-93.0,20.0,25.0,21.0,21.0,1
14,CC:2F:71:3E:C5:1F,3860085,486799731,1115,136211,3858970,486663520,3,4870,405841,4058,309495,812,96346,1180,16,1609,32,3,55,130000.0,39000.0,-73.0,-73.0,-69.0,-60.0,-70.0,-71.0,-67.0,-60.0,-90.0,-93.0,-90.0,-93.0,17.0,20.0,21.0,33.0,1
15,BA:8C:B9:54:50:24,3864036,492900627,5066,6237107,3858970,486663520,7,10581,1817632,10559,1814137,22,3495,2399,19,5640,46,7,80,229410.0,130000.0,-50.0,-34.0,-43.0,-44.0,-42.0,-35.0,-42.0,-47.0,-90.0,-93.0,-90.0,-93.0,40.0,59.0,47.0,49.0,1
16,62:47:05:9D:EB:15,3880232,533626189,21256,46961932,3858976,486664257,1,17407,5989642,17311,5975183,96,14459,8130,1,21361,464,1,179,229410.0,130000.0,-40.0,-41.0,-41.0,-44.0,-40.0,-41.0,-40.0,-44.0,-90.0,-93.0,-90.0,-93.0,50.0,52.0,49.0,49.0,1
17,92:69:1D:31:68:E9,3863324,490419375,4348,3755118,3858976,486664257,1,6228,1293842,6027,1247939,201,45903,2444,16,4663,108,1,73,229410.0,130000.0,-53.0,-47.0,-42.0,-49.0,-51.0,-47.0,-44.0,-47.0,-90.0,-93.0,-90.0,-93.0,37.0,46.0,48.0,44.0,1
18,CC:2F:71:3F:1F:24,5314119,2132379450,1455143,1645715193,3858976,486664257,2222,1214523,1361591226,1213560,1361474362,963,116864,1174591,15,1453285,134904,2219,908,144444.0,43333.0,-71.0,-70.0,-69.0,-74.0,-71.0,-69.0,-69.0,-74.0,-90.0,-93.0,-90.0,-93.0,19.0,23.0,21.0,19.0,1
19,CC:2F:71:3E:C5:1F,3860091,486800468,1115,136211,3858976,486664257,3,4870,405841,4058,309495,812,96346,1180,16,1609,32,3,55,130000.0,39000.0,-73.0,-73.0,-69.0,-60.0,-70.0,-71.0,-67.0,-60.0,-90.0,-93.0,-90.0,-93.0,17.0,20.0,21.0,33.0,1
20,BA:8C:B9:54:50:24,3864042,492901364,5066,6237107,3858976,486664257,7,10581,1817632,10559,1814137,22,3495,2399,19,5640,46,7,80,229410.0,130000.0,-50.0,-34.0,-43.0,-44.0,-42.0,-35.0,-42.0,-47.0,-90.0,-93.0,-90.0,-93.0,40.0,59.0,47.0,49.0,1
21,62:47:05:9D:EB:15,3880236,533626593,21256,46961932,3858980,486664661,1,17407,5989642,17311,5975183,96,14459,8130,1,21361,464,1,179,229410.0,130000.0,-40.0,-41.0,-41.0,-44.0,-40.0,-41.0,-40.0,-44.0,-90.0,-93.0,-90.0,-93.0,50.0,52.0,49.0,49.0,1
22,92:69:1D:31:68:E9,3863328,490419779,4348,3755118,3858980,486664661,1,6228,1293842,6027,1247939,201,45903,2444,16,4663,108,1,73,229410.0,130000.0,-53.0,-47.0,-42.0,-49.0,-51.0,-47.0,-44.0,-47.0,-90.0,-93.0,-90.0,-93.0,37.0,46.0,48.0,44.0,1
23,CC:2F:71:3F:1F:24,5314171,2132397614,1455191,1645732953,3858980,486664661,2222,1214551,1361596044,1213588,1361479180,963,116864,1174618,15,1453333,134904,2219,908,144444.0,43333.0,-72.0,-70.0,-69.0,-76.0,-72.0,-70.0,-69.0,-75.0,-90.0,-93.0,-90.0,-93.0,18.0,23.0,21.0,17.0,1
24,CC:2F:71:3E:C5:1F,3860095,486800872,1115,136211,3858980,486664661,3,4870,405841,4058,309495,812,96346,1180,16,1609,32,3,55,130000.0,39000.0,-73.0,-73.0,-69.0,-60.0,-70.0,-71.0,-67.0,-60.0,-90.0,-93.0,-90.0,-93.0,17.0,20.0,21.0,33.0,1
25,BA:8C:B9:54:50:24,3864046,492901768,5066,6237107,3858980,486664661,7,10581,1817632,10559,1814137,22,3495,2399,19,5640,46,7,80,229410.0,130000.0,-50.0,-34.0,-43.0,-44.0,-42.0,-35.0,-42.0,-47.0,-90.0,-93.0,-90.0,-93.0,40.0,59.0,47.0,49.0,1
26,62:47:05:9D:EB:15,3880240,533626997,21256,46961932,3858984,486665065,1,17407,5989642,17311,5975183,96,14459,8130,1,21361,464,1,179,229410.0,130000.0,-40.0,-41.0,-41.0,-44.0,-40.0,-41.0,-40.0,-44.0,-90.0,-93.0,-90.0,-93.0,50.0,52.0,49.0,49.0,1
27,92:69:1D:31:68:E9,3863332,490420183,4348,3755118,3858984,486665065,1,6228,1293842,6027,1247939,201,45903,2444,16,4663,108,1,73,229410.0,130000.0,-53.0,-47.0,-42.0,-49.0,-51.0,-47.0,-44.0,-47.0,-90.0,-93.0,-90.0,-93.0,37.0,46.0,48.0,44.0,1
28,CC:2F:71:3F:1F:24,5314221,2132415518,1455237,1645750453,3858984,486665065,2222,1214576,1361600514,1213613,1361483650,963,116864,1174642,15,1453379,134904,2219,908,144444.0,43333.0,-72.0,-70.0,-70.0,-76.0,-73.0,-70.0,-70.0,-76.0,-90.0,-93.0,-90.0,-93.0,18.0,23.0,20.0,17.0,1
29,CC:2F:71:3E:C5:1F,3860099,486801276,1115,136211,3858984,486665065,3,4870,405841,4058,309495,812,96346,1180,16,1609,32,3,55,130000.0,39000.0,-73.0,-73.0,-69.0,-60.0,-70.0,-71.0,-67.0,-60.0,-90.0,-93.0,-90.0,-93.0,17.0,20.0,21.0,33.0,1
30,BA:8C:B9:54:50:24,3864050,492902172,5066,6237107,3858984,486665065,7,10581,1817632,10559,1814137,22,3495,2399,19,5640,46,7,80,229410.0,130000.0,-50.0,-34.0,-43.0,-44.0,-42.0,-35.0,-42.0,-47.0,-90.0,-93.0,-90.0,-93.0,40.0,59.0,47.0,49.0,1
31,62:47:05:9D:EB:15,3880245,533627461,21256,46961932,3858989,486665529,1,17407,5989642,17311,5975183,96,14459,8130,1,21361,464,1,179,229410.0,130000.0,-40.0,-41.0,-41.0,-44.0,-40.0,-41.0,-40.0,-44.0,-90.0,-93.0,-90.0,-93.0,50.0,52.0,49.0,49.0,1
32,92:69:1D:31:68:E9,3863337,490420647,4348,3755118,3858989,486665529,1,6228,1293842,6027,1247939,201,45903,2444,16,4663,108,1,73,229410.0,130000.0,-53.0,-47.0,-42.0,-49.0,-51.0,-47.0,-44.0,-47.0,-90.0,-93.0,-90.0,-93.0,37.0,46.0,48.0,44.0,1
